quarter_id,quarter_label,reference_time,metric_beat,measure_id,status
206,Q207,75.39519274376417,1,M52,VALIDATED_PI_ORIGIN_PROPAGATED
207,Q208,75.7667120181406,2,M52,VALIDATED_PI_ORIGIN_PROPAGATED
208,Q209,76.11501133786848,3,M52,VALIDATED_PI_ORIGIN_PROPAGATED
209,Q210,76.48653061224489,4,M52,VALIDATED_PI_ORIGIN_PROPAGATED
210,Q211,76.83482993197279,1,M53,VALIDATED_PI_ORIGIN_PROPAGATED
211,Q212,77.18312925170068,2,M53,VALIDATED_PI_ORIGIN_PROPAGATED
212,Q213,77.5546485260771,3,M53,VALIDATED_PI_ORIGIN_PROPAGATED
213,Q214,77.90294784580499,4,M53,VALIDATED_PI_ORIGIN_PROPAGATED
214,Q215,78.27446712018141,1,M54,VALIDATED_PI_ORIGIN_PROPAGATED
215,Q216,78.6227664399093,2,M54,VALIDATED_PI_ORIGIN_PROPAGATED
216,Q217,78.97106575963718,3,M54,VALIDATED_PI_ORIGIN_PROPAGATED
217,Q218,79.34258503401361,4,M54,VALIDATED_PI_ORIGIN_PROPAGATED
218,Q219,79.6908843537415,1,M55,VALIDATED_PI_ORIGIN_PROPAGATED
219,Q220,80.03918367346938,2,M55,VALIDATED_PI_ORIGIN_PROPAGATED
220,Q221,80.4107029478458,3,M55,VALIDATED_PI_ORIGIN_PROPAGATED
221,Q222,80.78222222222222,4,M55,VALIDATED_PI_ORIGIN_PROPAGATED
222,Q223,81.13052154195012,1,M56,VALIDATED_PI_ORIGIN_PROPAGATED
223,Q224,81.50204081632653,2,M56,VALIDATED_PI_ORIGIN_PROPAGATED
224,Q225,81.87356009070295,3,M56,VALIDATED_PI_ORIGIN_PROPAGATED
225,Q226,82.24507936507936,4,M56,VALIDATED_PI_ORIGIN_PROPAGATED
226,Q227,82.61659863945579,1,M57,VALIDATED_PI_ORIGIN_PROPAGATED
227,Q228,82.9881179138322,2,M57,VALIDATED_PI_ORIGIN_PROPAGATED
228,Q229,83.35963718820862,3,M57,VALIDATED_PI_ORIGIN_PROPAGATED
229,Q230,83.73115646258503,4,M57,VALIDATED_PI_ORIGIN_PROPAGATED
230,Q231,84.10267573696144,1,M58,VALIDATED_PI_ORIGIN_PROPAGATED
231,Q232,84.45097505668934,2,M58,VALIDATED_PI_ORIGIN_PROPAGATED
232,Q233,84.82249433106576,3,M58,VALIDATED_PI_ORIGIN_PROPAGATED
233,Q234,85.17079365079366,4,M58,VALIDATED_PI_ORIGIN_PROPAGATED
234,Q235,85.54231292517007,1,M59,VALIDATED_PI_ORIGIN_PROPAGATED
235,Q236,85.89061224489797,2,M59,VALIDATED_PI_ORIGIN_PROPAGATED
236,Q237,86.23891156462585,3,M59,VALIDATED_PI_ORIGIN_PROPAGATED
237,Q238,86.61043083900226,4,M59,VALIDATED_PI_ORIGIN_PROPAGATED
238,Q239,86.95873015873016,1,M60,VALIDATED_PI_ORIGIN_PROPAGATED
239,Q240,87.30702947845805,2,M60,VALIDATED_PI_ORIGIN_PROPAGATED
240,Q241,87.67854875283447,3,M60,VALIDATED_PI_ORIGIN_PROPAGATED
241,Q242,88.02684807256236,4,M60,VALIDATED_PI_ORIGIN_PROPAGATED
242,Q243,88.39836734693877,1,M61,VALIDATED_PI_ORIGIN_PROPAGATED
243,Q244,88.74666666666667,2,M61,VALIDATED_PI_ORIGIN_PROPAGATED
244,Q245,89.09496598639456,3,M61,VALIDATED_PI_ORIGIN_PROPAGATED
245,Q246,89.46648526077098,4,M61,VALIDATED_PI_ORIGIN_PROPAGATED
246,Q247,89.81478458049887,1,M62,VALIDATED_PI_ORIGIN_PROPAGATED
247,Q248,90.16308390022675,2,M62,VALIDATED_PI_ORIGIN_PROPAGATED
248,Q249,90.53460317460318,3,M62,VALIDATED_PI_ORIGIN_PROPAGATED
249,Q250,90.88290249433106,4,M62,VALIDATED_PI_ORIGIN_PROPAGATED
250,Q251,91.25442176870749,1,M63,VALIDATED_PI_ORIGIN_PROPAGATED
251,Q252,91.60272108843537,2,M63,VALIDATED_PI_ORIGIN_PROPAGATED
252,Q253,91.9742403628118,3,M63,VALIDATED_PI_ORIGIN_PROPAGATED
253,Q254,92.32253968253968,4,M63,VALIDATED_PI_ORIGIN_PROPAGATED
