PLP_peak_index,Bass_only_marker_ids,Drum_only_marker_ids,dual_marker_ids,distinct_single_support_co_coverage,physical_pair_status,Bass_Drum_attack_delta_ms
205,,,F_MIX_00382,False,NOT_ESTABLISHED,
206,,F_MIX_00383,F_MIX_00384,False,NOT_ESTABLISHED,
207,,F_MIX_00385;F_MIX_00386,,False,NOT_ESTABLISHED,
208,,F_MIX_00387,,False,NOT_ESTABLISHED,
209,,F_MIX_00389,,False,NOT_ESTABLISHED,
210,,F_MIX_00390,,False,NOT_ESTABLISHED,
211,,F_MIX_00391;F_MIX_00392,,False,NOT_ESTABLISHED,
212,,F_MIX_00393,,False,NOT_ESTABLISHED,
213,,F_MIX_00395,,False,NOT_ESTABLISHED,
214,,F_MIX_00396;F_MIX_00397,,False,NOT_ESTABLISHED,
215,,F_MIX_00399,,False,NOT_ESTABLISHED,
216,,F_MIX_00400;F_MIX_00401,,False,NOT_ESTABLISHED,
217,,F_MIX_00402;F_MIX_00403,,False,NOT_ESTABLISHED,
218,,F_MIX_00404;F_MIX_00405,,False,NOT_ESTABLISHED,
219,,F_MIX_00406;F_MIX_00407,,False,NOT_ESTABLISHED,
220,,F_MIX_00408,,False,NOT_ESTABLISHED,
221,,,F_MIX_00409;F_MIX_00410,False,NOT_ESTABLISHED,
222,,F_MIX_00411;F_MIX_00412,,False,NOT_ESTABLISHED,
223,F_MIX_00413,F_MIX_00414,,True,NOT_ESTABLISHED,
224,,,F_MIX_00416,False,NOT_ESTABLISHED,
225,,F_MIX_00418,,False,NOT_ESTABLISHED,
226,,F_MIX_00419,,False,NOT_ESTABLISHED,
227,,,,False,NOT_ESTABLISHED,
228,,F_MIX_00421,,False,NOT_ESTABLISHED,
229,,F_MIX_00422,,False,NOT_ESTABLISHED,
230,,,F_MIX_00423,False,NOT_ESTABLISHED,
231,,,F_MIX_00424,False,NOT_ESTABLISHED,
232,,,F_MIX_00426,False,NOT_ESTABLISHED,
233,,,F_MIX_00428,False,NOT_ESTABLISHED,
234,,F_MIX_00429,F_MIX_00430,False,NOT_ESTABLISHED,
235,,F_MIX_00431,F_MIX_00432,False,NOT_ESTABLISHED,
236,,F_MIX_00435,F_MIX_00434,False,NOT_ESTABLISHED,
237,,,F_MIX_00436,False,NOT_ESTABLISHED,
238,,,F_MIX_00438,False,NOT_ESTABLISHED,
239,,F_MIX_00441,,False,NOT_ESTABLISHED,
240,,F_MIX_00442,,False,NOT_ESTABLISHED,
241,,,F_MIX_00443,False,NOT_ESTABLISHED,
242,,,,False,NOT_ESTABLISHED,
243,,,F_MIX_00445,False,NOT_ESTABLISHED,
244,,,F_MIX_00447,False,NOT_ESTABLISHED,
245,,,F_MIX_00448,False,NOT_ESTABLISHED,
