event_id,section,IN_SCOPE,native_s,source_state,reference_available,PLP_peak_index,PLP_s,marker_offset_ms,PLP_interval_BPM,source_confidence,timing_kind,timing_confidence,numerical_attack_uncertainty_ms,performer_ahead_on_behind,coordinate_sign,native_grid_ms,source_context,source_adapter_sha256,ADTOF_event_id,ADTOF_distance_ms,MU_U_BASS_event_id,MU_U_DRUM_event_id,MU_C_DRUM_event_id,historical_Bass_links,exclusion_reason
F_MIX_00020,M1,True,4.0751020408163265,UNKNOWN,True,11,4.156371882086168,-81.26984126984115,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_4,94.89795918367338,UNCONSTRAINED_NEW_000_40,UNCONSTRAINED_NEW_000_45,TRIO_CONDITIONED_NEW_000_36,,
F_MIX_00021,M1,True,4.191201814058957,DRUM_SUPPORTED,True,11,4.156371882086168,34.82993197278894,172.26562499999997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_4,21.201814058956714,UNCONSTRAINED_NEW_000_49,UNCONSTRAINED_NEW_000_45,TRIO_CONDITIONED_NEW_000_36,,
F_MIX_00022,M1,True,4.388571428571429,DRUM_SUPPORTED,True,12,4.504671201814059,-116.0997732426301,172.26562499999997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_5,8.571428571428896,UNCONSTRAINED_NEW_000_49,UNCONSTRAINED_NEW_000_47,TRIO_CONDITIONED_NEW_000_37,,
F_MIX_00023,M1,True,4.516281179138322,BASS_AND_DRUM_SUPPORTED,True,12,4.504671201814059,11.609977324263276,161.49902343749977,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_2,6.281179138322379,UNCONSTRAINED_NEW_000_49,UNCONSTRAINED_NEW_000_50,TRIO_CONDITIONED_NEW_000_40,BASS_00007,
F_MIX_00024,M1,True,4.574331065759637,UNKNOWN,True,12,4.504671201814059,69.65986394557788,161.49902343749977,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_2,64.33106575963699,UNCONSTRAINED_NEW_000_49,UNCONSTRAINED_NEW_000_50,TRIO_CONDITIONED_NEW_000_40,,
F_MIX_00025,M1,True,4.899410430839002,DRUM_SUPPORTED,True,13,4.876190476190477,23.219954648525665,172.26562500000043,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_11,9.410430839002615,UNCONSTRAINED_NEW_000_56,UNCONSTRAINED_NEW_000_53,TRIO_CONDITIONED_NEW_000_42,,
F_MIX_00026,M1,True,5.154829931972789,BASS_SUPPORTED,True,14,5.224489795918367,-69.65986394557788,172.26562500000043,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_7,85.17006802721116,UNCONSTRAINED_NEW_000_56,UNCONSTRAINED_NEW_000_57,TRIO_CONDITIONED_NEW_000_45,BASS_00008,
F_MIX_00027,M1,True,5.259319727891157,DRUM_SUPPORTED,True,14,5.224489795918367,34.82993197278983,161.49902343749977,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_7,19.319727891156546,UNCONSTRAINED_NEW_000_59,UNCONSTRAINED_NEW_000_60,TRIO_CONDITIONED_NEW_000_47,BASS_00009,
F_MIX_00028,M1,True,5.526349206349207,DRUM_SUPPORTED,True,15,5.596009070294785,-69.65986394557788,161.49902343749977,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_8,16.349206349207,UNCONSTRAINED_NEW_000_63,UNCONSTRAINED_NEW_000_61,TRIO_CONDITIONED_NEW_000_48,,
F_MIX_00029,M1,True,5.630839002267574,BASS_AND_DRUM_SUPPORTED,True,15,5.596009070294785,34.82993197278894,172.26562499999997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_3,20.839002267573292,UNCONSTRAINED_NEW_000_63,UNCONSTRAINED_NEW_000_64,TRIO_CONDITIONED_NEW_000_51,BASS_00010,
F_MIX_00030,M1,True,5.874648526077097,DRUM_SUPPORTED,True,16,5.944308390022676,-69.65986394557876,172.26562499999997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_9,24.648526077097443,UNCONSTRAINED_NEW_000_67,UNCONSTRAINED_NEW_000_65,TRIO_CONDITIONED_NEW_000_52,,
