note_id,onset_s,offset_s,midi_pitch,amplitude,pitch_bends
BP_0039,56.95437006802721,57.16334965986395,47,0.3900283873081207,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0040,57.03563990929705,57.209789569160996,35,0.4190000891685486,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0041,57.314279365079365,57.581308843537414,48,0.39161863923072815,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0042,57.34910929705215,57.581308843537414,36,0.4997938573360443,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0043,57.37232925170068,57.51164897959184,64,0.38070806860923767,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0044,57.56969886621315,57.70901859410431,28,0.3800389766693115,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]"
BP_0045,57.67418866213152,57.813508390022676,47,0.2830175459384918,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0046,57.70901859410431,58.12697777777778,28,0.6560531854629517,"[2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1]"
BP_0047,57.72062857142857,57.917998185941045,40,0.4374140501022339,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0048,58.12697777777778,58.3707873015873,29,0.6077776551246643,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0049,58.44044716553288,58.75391655328798,33,0.6273314952850342,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
BP_0050,58.846796371882085,59.173159637188206,46,0.3947725296020508,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1]"
BP_0051,58.88162630385487,59.207989569161,34,0.55931556224823,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0052,59.173159637188206,59.44018911564626,46,0.6399059891700745,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 0]"
BP_0053,59.41696916099773,59.614338775510205,39,0.6125054955482483,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0054,59.614338775510205,59.881368253968255,39,0.7243692278862,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0055,59.927808163265304,60.20644761904762,34,0.6306832432746887,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
BP_0056,60.21805759637188,60.55474693877551,41,0.6224748492240906,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0057,60.67084671201814,60.91594013605442,42,0.6716662645339966,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0058,60.91594013605442,61.05525986394558,43,0.665841817855835,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0059,61.06686984126984,61.26423945578232,43,0.668583333492279,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0060,61.33389931972789,61.53126893424036,47,0.7665325999259949,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0061,61.53126893424036,61.67058866213152,47,0.647739589214325,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
BP_0062,61.70541859410431,61.86795827664399,48,0.8277449607849121,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0063,61.86795827664399,62.04210793650793,48,0.6816993951797485,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0064,62.181427664399095,62.42523718820861,52,0.5931293368339539,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0065,62.92575011337868,63.16955963718821,52,0.6705843806266785,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2]"
BP_0066,63.18116961451247,63.34370929705216,53,0.4779417812824249,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0067,63.90098820861678,64.10996780045352,57,0.47153234481811523,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
BP_0068,64.27250748299319,64.50470702947845,55,0.6154730319976807,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0069,64.29572743764172,64.4582671201814,43,0.461804062128067,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0070,64.64402675736962,64.86590022675738,53,0.42051273584365845,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0071,64.97039002267573,65.14453968253969,47,0.7444691061973572,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0072,65.14453968253969,65.30707936507937,47,0.602599561214447,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, -2]"
BP_0073,65.423179138322,65.69020861678004,46,0.6701964735984802,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
BP_0074,66.06172789115647,66.37519727891157,50,0.522367000579834,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BP_0075,66.42163718820862,66.73510657596373,46,0.6992239356040955,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0076,66.66544671201814,66.8395963718821,38,0.4216460883617401,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
BP_0077,66.78154648526078,67.08468979591837,50,0.46280160546302795,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0078,66.8395963718821,67.22400952380953,38,0.58637535572052,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0079,66.96859002267574,67.17756961451246,43,0.41476577520370483,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0080,67.17756961451246,67.44459909297052,43,0.7004883885383606,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0081,67.47942902494331,67.68840861678004,41,0.5823783874511719,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]"
BP_0082,67.80450839002268,67.96704807256236,35,0.5272146463394165,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]"
BP_0083,67.8277283446712,68.0483179138322,47,0.3855258524417877,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0084,67.96704807256236,68.16441768707483,35,0.6609545946121216,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0085,68.16441768707483,68.32695736961452,34,0.5967406034469604,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0086,68.19924761904763,68.33856734693877,46,0.277983695268631,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0087,68.32695736961452,68.51271700680272,34,0.6712319850921631,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0088,68.50110702947846,68.68686666666667,36,0.5579637885093689,"[-4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0089,68.66364671201814,68.85069024943311,48,0.40738263726234436,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0090,68.68686666666667,68.8855201814059,36,0.6899123787879944,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0091,68.94357006802721,69.22220952380952,37,0.5669514536857605,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0092,69.26864943310657,69.46601904761906,50,0.39786195755004883,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0093,69.28025941043084,69.54728888888889,38,0.7160391807556152,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0094,69.54728888888889,69.75626848072562,39,0.5940345525741577,"[-2, -2, -2, -2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
BP_0095,69.75626848072562,70.02329795918368,39,0.7294201254844666,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0096,70.01168798185941,70.1742276643991,46,0.6573601961135864,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0097,70.1742276643991,70.32515736961452,46,0.5682123899459839,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0098,70.29032743764172,70.45286712018141,43,0.5995796918869019,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
BP_0099,70.46447709750566,70.68506666666667,43,0.6702736020088196,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
BP_0100,70.71989659863945,71.1043097505669,39,0.7154550552368164,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
