measure,beat,quarter_ID,PLP_time_s,Bass_support_N_measure,Bass_grid_eligible,Bass_observed_support,Bass_event_ID,Bass_observed_time_s,BMIG_time_s,Bass_residual_ms,Bass_point_status,Bass_timing_provenance,Drum_support_N_measure,Drum_grid_eligible,Drum_observed_support,Drum_event_ID,Drum_observed_time_s,DMIG_time_s,Drum_residual_ms,Drum_point_status,Drum_timing_provenance,GRID_DELTA_ms,measure_comparison_eligible,notes
M39,4,Q158,57.67836734693878,4,YES,YES,HF030,57.56969886621315,57.56010861678005,9.590249433102827,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00295,57.68997732426304,57.66965986394558,20.317460317457403,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-109.551247165534,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M40,1,Q159,58.026666666666664,3,YES,YES,HF031,58.12697777777778,58.12697777777778,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00296,57.96861678004535,57.97732426303855,-8.707482993195015,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,149.65351473923505,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M40,2,Q160,58.39818594104308,3,YES,YES,HF032,58.44044716553288,58.46516689342404,-24.71972789115995,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00298,58.38657596371882,58.366258503401355,20.31746031746451,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,98.90839002268592,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M40,3,Q161,58.746485260770974,3,YES,YES,HF033,58.80335600907029,58.80335600907029,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00300,58.700045351473925,58.75519274376417,-55.14739229024457,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,48.16326530612258,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M40,4,Q162,59.11800453514739,3,YES,NO,,,59.141545124716544,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,4,YES,YES,F_MIX_00303,59.15283446712018,59.144126984126984,8.707482993195015,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-2.5818594104407566,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M41,1,Q163,59.466303854875285,4,YES,YES,HF035,59.519727891156464,59.5224716553288,-2.7437641723366823,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,2,NO,YES,F_MIX_00305,59.5243537414966,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M41,2,Q164,59.8378231292517,4,YES,YES,HF036,59.90485260770975,59.88248677248677,22.365835222977637,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,2,NO,YES,F_MIX_00306,59.88426303854875,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M41,3,Q165,60.20934240362812,4,YES,YES,HF037,60.23609977324263,60.24250188964475,-6.402116402121294,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M41,4,Q166,60.58086167800454,4,YES,YES,HF038,60.60526077097506,60.60251700680272,2.7437641723366823,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M42,1,Q167,60.929160997732424,3,YES,YES,HF039,61.06585034013606,61.06585034013606,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,1,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
