clip_id,BP_id,candidate_id,time_s,label,log_flux_peak,log_prominence,log_width_ms,log_rise_ms,rise_slope_norm,decay_slope_norm,log_flux_integral,flux_post_pre_logratio,peak_local_mean_ratio,peak_local_max_ratio,rms_pre_log,rms_post_pre_logratio,low_energy_pre_log,low_energy_post_pre_logratio,broad_energy_post_pre_logratio,centroid_change,spectral_slope_change,late_low_energy_persistence,low_spectral_concentration_change,BP_signed_distance_ms,BP_absolute_distance_ms,BP_relative_activity_position
T06,T06_N020,T06_N020_F3808272,86.35537414965987,UNLABELLED_BP_CORRESPONDENCE,-3.456406507245032,-4.4313576403394475,0.46724651874570744,0.6920127504893335,0.1059372919332881,0.3283511719032056,-4.313920733084851,-0.05324338759807912,0.35214732431592527,0.11399365758620068,-1.2732368558254614,-0.01639555513549884,-2.7001159688326,-0.029853173405684608,-0.030975437682701834,-0.00027557883264125847,0.1203674434118227,-0.0339415957490643,0.0011222642770177885,-20.014965986391076,20.014965986391076,-0.05070427389704919
T06,T06_N020,T06_N020_F3808492,86.36036281179139,UNLABELLED_BP_CORRESPONDENCE,-2.764533791161674,-2.8572755784459525,1.3960495994953375,1.38459223304936,0.31006973624290296,0.1346191866651831,-4.378848841945314,-0.05485604082396023,2.011523996365732,0.5607294996578607,-1.2768505149375622,-0.013996200321004792,-2.703130804428213,-0.03243686981931848,-0.02986966128356139,-0.0007003394831692518,0.12063426681556688,-0.028309349294951325,-0.002567208535756614,-15.026303854867251,15.026303854867251,-0.03806640624997904
T06,T06_N020,T06_N020_F3808668,86.3643537414966,UNLABELLED_BP_CORRESPONDENCE,-3.2258603751884274,-3.9757045892783127,0.6858850465990965,0.6920127504893335,0.17789174116270948,0.22187391411275142,-4.310590549099243,-0.014349533100102008,0.5942105262960043,0.21019559293617532,-1.277855150172172,-0.015951587652772936,-2.708651655270524,-0.030655281861696082,-0.03291606734147656,-0.00012443625054604012,0.11703953678781431,-0.028154919704759696,0.0022607854797805638,-11.035374149656718,11.035374149656718,-0.027956112132344526
T06,T06_N020,T06_N020_F3808888,86.36934240362812,UNLABELLED_BP_CORRESPONDENCE,-2.5923700740799056,-2.6132543296977837,1.4623757199908747,2.5628540188216826,0.07942084406650786,0.16301133999464523,-4.334606868294525,-0.040139607500851326,2.7005172842476397,0.9038865150487384,-1.2810196115276054,-0.014854166089452336,-2.7157195060261734,-0.02913920741817133,-0.027261055682301638,-0.000447073332372689,0.11794655712542612,-0.022222833005667297,-0.0018781517358695682,-6.046712018132894,6.046712018132894,-0.015318244485274376
T06,T06_N020,T06_N020_F3809064,86.37333333333333,UNLABELLED_BP_CORRESPONDENCE,-3.544037023090153,-3.9804714178561365,0.6309784509068073,0.6920127504893335,0.36607123570043404,0.4018897462149186,-4.3249713141935455,-0.04916315444185049,0.295219104235914,0.10102921028547655,-1.2818661852221263,-0.01758655625405292,-2.7196836059470404,-0.029483524548881146,-0.03083841982135027,-9.294342362615993e-05,0.12635710543928091,-0.016953042997239987,0.001354895272469285,-2.0557823129223607,2.0557823129223607,-0.005207950367639859
T06,T06_N020,T06_N020_F3809284,86.37832199546486,UNLABELLED_BP_CORRESPONDENCE,-2.750550493806134,-2.8847489901013663,1.1793428751647927,1.38459223304936,0.3228104050449731,0.12236303865252456,-4.385441230214909,-0.06696159042333338,2.1091181229697398,0.6279621786632962,-1.284774245825258,-0.016652290871334463,-2.720567097789249,-0.03655973772038967,-0.03498168950373248,-0.0004287390301127658,0.13986655789581937,-0.009386788127756063,-0.0015780482166573087,2.9328798186014637,2.9328798186014637,0.00742991727943029
T06,T06_N020,T06_N020_F3809460,86.38231292517007,UNLABELLED_BP_CORRESPONDENCE,-3.171685345394416,-3.7018456664408714,1.0140658168426933,0.6920127504893335,0.2950119980426061,0.14949404713441097,-4.325584075631473,-0.032131553564878956,0.6968012118103923,0.257998305030241,-1.2847760620045114,-0.019256905068500973,-2.7223859632545997,-0.039893016150176486,-0.04239631322327453,1.834123811153887e-05,0.1288099066441113,-0.009346034820477467,0.002503297073098029,6.923809523811997,6.923809523811997,0.017540211397064808
T06,T06_N020,T06_N020_F3809680,86.3873015873016,UNLABELLED_BP_CORRESPONDENCE,-2.588104518155435,-2.5976402791581275,1.5218061838024624,2.5628540188216826,0.0815235330836206,0.039999999999999994,-4.3572217872205155,-0.0200866897038936,2.872945821776753,0.9890031618229305,-1.2862729783145113,-0.018637541759240817,-2.7251891914438167,-0.04028327614701732,-0.03942824349928209,-0.0002275022547151977,0.11442247583125065,-0.009372792567236221,-0.0008550326477353154,11.912471655335821,11.912471655335821,0.030178079044134956
T06,T06_N020,T06_N020_F3809856,86.3912925170068,UNLABELLED_BP_CORRESPONDENCE,-3.500761119628049,-4.266421642057967,0.5237256898429605,0.6920127504893335,0.17152975905527856,0.3198962792409983,-4.344786263175637,-0.022665792411116215,0.3413778277666222,0.12093195632906861,-1.2856325443738041,-0.0211456689259919,-2.727053669201536,-0.037410835659748454,-0.03994289303132126,0.00021834428470391743,0.10666341301109794,-0.013560726393651468,0.002532057371572652,15.903401360546354,15.903401360546354,0.040288373161769475
T06,T06_N020,T06_N020_F3810076,86.39628117913833,UNLABELLED_BP_CORRESPONDENCE,-2.8251954673231023,-2.9453292966857196,1.2361505670503097,1.0970994290754792,0.4957456847137205,0.2527812842369851,-4.407293644586119,-0.05679529147121265,1.8677052704241197,0.5729368168573167,-1.287040239549078,-0.019125499578023897,-2.725993353152411,-0.03926250622490324,-0.03883692316919918,-0.000101418810533076,0.11010992819361975,-0.016796645882214634,-0.00042558305570372656,20.89206349207018,20.89206349207018,0.05292624080883962
