quarter_id,source_search,event_id,native_timestamp,source_state,old_role,selected
51,DRUM,F_MIX_00102,18.784943310657596,DRUM_SUPPORTED,PRIMARY,True
52,BASS,F_MIX_00104,19.156462585034014,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
52,DRUM,F_MIX_00104,19.156462585034014,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
53,DRUM,F_MIX_00105,19.504761904761907,DRUM_SUPPORTED,PRIMARY,True
54,BASS,F_MIX_00106,19.748571428571427,BASS_SUPPORTED,CONTEXT,True
54,DRUM,F_MIX_00108,19.86467120181406,DRUM_SUPPORTED,PRIMARY,True
55,BASS,F_MIX_00110,20.21297052154195,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
55,DRUM,F_MIX_00110,20.21297052154195,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
56,DRUM,F_MIX_00112,20.58448979591837,DRUM_SUPPORTED,PRIMARY,True
56,DRUM,F_MIX_00111,20.468390022675738,DRUM_SUPPORTED,CONTEXT,False
57,DRUM,F_MIX_00113,20.839909297052156,DRUM_SUPPORTED,PRIMARY,True
57,DRUM,F_MIX_00114,20.956009070294783,DRUM_SUPPORTED,CONTEXT,False
58,DRUM,F_MIX_00116,21.304308390022676,DRUM_SUPPORTED,CONTEXT,True
59,DRUM,F_MIX_00117,21.559727891156463,DRUM_SUPPORTED,PRIMARY,True
60,DRUM,F_MIX_00118,21.93124716553288,DRUM_SUPPORTED,PRIMARY,True
60,DRUM,F_MIX_00119,22.035736961451246,DRUM_SUPPORTED,CONTEXT,False
61,DRUM,F_MIX_00120,22.27954648526077,DRUM_SUPPORTED,PRIMARY,True
61,DRUM,F_MIX_00121,22.407256235827663,DRUM_SUPPORTED,CONTEXT,False
62,DRUM,F_MIX_00122,22.651065759637188,DRUM_SUPPORTED,PRIMARY,True
62,DRUM,F_MIX_00123,22.790385487528344,DRUM_SUPPORTED,CONTEXT,False
63,BASS,F_MIX_00125,23.11546485260771,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
63,DRUM,F_MIX_00125,23.11546485260771,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
64,DRUM,F_MIX_00126,23.394104308390023,DRUM_SUPPORTED,PRIMARY,True
65,BASS,F_MIX_00129,23.84689342403628,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
