event_id,stem,timestamp_s,sample_index,in_scope,identity,asset_sha256,source_identity,provenance,operational_timestamp,timestamp_origin,full_mix_event_id
BASS_00141,bass,61.265850340136055,2701824,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,61.265850340136055,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00144,bass,61.9740589569161,2733056,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,61.9740589569161,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00145,bass,62.09015873015873,2738176,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,62.09015873015873,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00146,bass,62.20625850340136,2743296,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,62.20625850340136,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00147,bass,62.83319727891156,2770944,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,62.83319727891156,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00148,bass,62.94929705215419,2776064,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,62.94929705215419,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00150,bass,63.901315192743766,2818048,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,63.901315192743766,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00160,bass,67.83709750566894,2991616,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,67.83709750566894,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00163,bass,68.95165532879818,3040768,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,68.95165532879818,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00165,bass,69.67147392290249,3072512,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,69.67147392290249,SEPARATOR_STEM,NOT_ESTABLISHED
