stem,quarter_id,quarter_timestamp,candidate_N,selected_id,timestamp_s,sample_index,offset_ms,state
bass,306,111.43256235827664,1,BASS_00281,111.45578231292517,4915200,23.21995464853000,SELECTED
bass,307,111.78086167800454,1,BASS_00282,111.7924716553288,4930048,11.60997732426000,SELECTED
bass,308,112.12916099773243,1,BASS_00283,112.12916099773243,4944896,0E-14,SELECTED
bass,309,112.50068027210884,2,BASS_00285,112.51229024943311,4961792,11.60997732427000,SELECTED
bass,310,112.84897959183674,0,,,,,EMPTY
bass,311,113.22049886621315,1,BASS_00286,113.24371882086167,4994048,23.21995464852000,SELECTED
bass,312,113.56879818594105,1,BASS_00287,113.62684807256235,5010944,58.04988662130000,SELECTED
bass,313,113.94031746031746,1,BASS_00288,113.97514739229025,5026304,34.82993197279000,SELECTED
bass,314,114.31183673469388,0,,,,,EMPTY
bass,315,114.66013605442177,1,BASS_00289,114.69496598639456,5058048,34.82993197279000,SELECTED
bass,316,115.03165532879818,1,BASS_00290,115.07809523809524,5074944,46.43990929706000,SELECTED
bass,317,115.4031746031746,1,BASS_00291,115.43800453514739,5090816,34.82993197279000,SELECTED
bass,318,115.77469387755102,1,BASS_00292,115.80952380952381,5107200,34.82993197279000,SELECTED
bass,319,116.14621315192744,0,,,,,EMPTY
bass,320,116.51773242630385,1,BASS_00293,116.54095238095238,5139456,23.21995464853000,SELECTED
bass,321,116.88925170068028,1,BASS_00294,116.86603174603175,5153792,-23.21995464853000,SELECTED
bass,322,117.26077097505669,1,BASS_00295,117.2259410430839,5169664,-34.82993197279000,SELECTED
bass,323,117.63229024943311,1,BASS_00296,117.59746031746032,5186048,-34.82993197279000,SELECTED
bass,324,118.00380952380952,1,BASS_00297,117.980589569161,5202944,-23.21995464852000,SELECTED
bass,325,118.37532879818595,1,BASS_00298,118.2940589569161,5216768,-81.26984126985000,SELECTED
bass,326,118.72362811791383,0,,,,,EMPTY
bass,327,119.09514739229024,0,,,,,EMPTY
bass,328,119.44344671201814,0,,,,,EMPTY
bass,329,119.81496598639455,3,BASS_00299,119.81496598639455,5283840,0E-14,SELECTED
bass,330,120.16326530612245,0,,,,,EMPTY
bass,331,120.53478458049887,0,,,,,EMPTY
bass,332,120.88308390022675,1,BASS_00302,120.97596371882086,5335040,92.87981859411000,SELECTED
bass,333,121.25460317460318,1,BASS_00303,121.2429931972789,5346816,-11.60997732428000,SELECTED
bass,334,121.60290249433106,1,BASS_00304,121.62612244897959,5363712,23.21995464853000,SELECTED
bass,335,121.97442176870749,1,BASS_00305,121.97442176870749,5379072,0E-14,SELECTED
bass,336,122.32272108843537,1,BASS_00306,122.33433106575964,5394944,11.60997732427000,SELECTED
bass,337,122.6942403628118,0,,,,,EMPTY
bass,338,123.06575963718821,1,BASS_00307,123.07736961451248,5427712,11.60997732427000,SELECTED
bass,339,123.4140589569161,1,BASS_00308,123.42566893424036,5443072,11.60997732426000,SELECTED
bass,340,123.78557823129252,1,BASS_00309,123.80879818594104,5459968,23.21995464852000,SELECTED
bass,341,124.1338775510204,1,BASS_00310,124.1687074829932,5475840,34.8299319728000,SELECTED
bass,342,124.50539682539683,1,BASS_00311,124.51700680272108,5491200,11.60997732425000,SELECTED
bass,343,124.85369614512472,1,BASS_00312,124.88852607709751,5507584,34.82993197279000,SELECTED
bass,344,125.22521541950114,1,BASS_00313,125.24843537414966,5523456,23.21995464852000,SELECTED
bass,345,125.57351473922903,1,BASS_00314,125.61995464852608,5539840,46.43990929705000,SELECTED
bass,346,125.94503401360544,1,BASS_00315,125.96825396825396,5555200,23.21995464852000,SELECTED
bass,347,126.29333333333334,3,BASS_00318,126.32816326530612,5571072,34.82993197278000,SELECTED
bass,348,126.66485260770975,2,BASS_00319,126.65324263038549,5585408,-11.60997732426000,SELECTED
bass,349,127.01315192743765,2,BASS_00321,126.92027210884353,5597184,-92.87981859412000,SELECTED
bass,350,127.36145124716553,1,BASS_00323,127.38467120181406,5617664,23.21995464853000,SELECTED
bass,351,127.73297052154194,1,BASS_00324,127.73297052154194,5633024,0E-14,SELECTED
bass,352,128.08126984126983,1,BASS_00325,128.11609977324264,5649920,34.82993197281000,SELECTED
bass,353,128.45278911564625,1,BASS_00326,128.46439909297052,5665280,11.60997732427000,SELECTED
bass,354,128.80108843537414,1,BASS_00327,128.83591836734695,5681664,34.82993197281000,SELECTED
bass,355,129.17260770975057,1,BASS_00328,129.20743764172335,5698048,34.82993197278000,SELECTED
bass,356,129.52090702947845,1,BASS_00329,129.5673469387755,5713920,46.43990929705000,SELECTED
bass,357,129.89242630385488,1,BASS_00330,129.93886621315193,5730304,46.43990929705000,SELECTED
bass,358,130.24072562358276,1,BASS_00331,130.29877551020408,5746176,58.04988662132000,SELECTED
bass,359,130.6122448979592,1,BASS_00332,130.6702947845805,5762560,58.0498866213000,SELECTED
bass,360,130.96054421768707,2,BASS_00333,130.91410430839002,5773312,-46.43990929705000,SELECTED
bass,361,131.3320634920635,2,BASS_00336,131.3320634920635,5791744,0E-13,SELECTED
bass,362,131.68036281179138,1,BASS_00337,131.84290249433107,5814272,162.53968253969000,SELECTED
bass,363,132.0518820861678,1,BASS_00338,131.91256235827663,5817344,-139.31972789117000,SELECTED
bass,364,132.4001814058957,1,BASS_00339,132.43501133786847,5840384,34.82993197277000,SELECTED
bass,365,132.77170068027212,1,BASS_00340,132.79492063492063,5856256,23.21995464851000,SELECTED
bass,366,133.12,1,BASS_00341,133.14321995464852,5871616,23.21995464852000,SELECTED
bass,367,133.49151927437643,1,BASS_00342,133.49151927437643,5886976,0E-14,SELECTED
bass,368,133.83981859410432,1,BASS_00343,133.86303854875283,5903360,23.21995464851000,SELECTED
bass,369,134.2113378684807,1,BASS_00344,134.22294784580498,5919232,11.60997732428000,SELECTED
bass,370,134.55963718820863,0,,,,,EMPTY
bass,371,134.93115646258502,1,BASS_00345,134.91954648526078,5949952,-11.60997732424000,SELECTED
bass,372,135.27945578231294,1,BASS_00346,135.29106575963718,5966336,11.60997732424000,SELECTED
bass,373,135.65097505668933,1,BASS_00347,135.6625850340136,5982720,11.60997732427000,SELECTED
bass,374,135.99927437641725,1,BASS_00348,136.0108843537415,5998080,11.60997732425000,SELECTED
bass,375,136.37079365079364,1,BASS_00349,136.37079365079364,6013952,0E-14,SELECTED
bass,376,136.71909297052153,1,BASS_00350,136.74231292517007,6030336,23.21995464854000,SELECTED
bass,377,137.09061224489795,0,,,,,EMPTY
bass,378,137.43891156462584,1,BASS_00351,137.4853514739229,6063104,46.43990929706000,SELECTED
bass,379,137.81043083900227,2,BASS_00353,137.8336507936508,6078464,23.21995464853000,SELECTED
bass,380,138.15873015873015,1,BASS_00354,138.10068027210883,6090240,-58.04988662132000,SELECTED
bass,381,138.50702947845804,2,BASS_00355,138.55346938775511,6110208,46.43990929707000,SELECTED
bass,382,138.87854875283446,1,BASS_00357,138.87854875283446,6124544,0E-14,SELECTED
bass,383,139.22684807256235,1,BASS_00358,139.26167800453516,6141440,34.82993197281000,SELECTED
bass,384,139.59836734693877,1,BASS_00359,139.63319727891155,6157824,34.82993197278000,SELECTED
bass,385,139.94666666666666,1,BASS_00360,139.9698866213152,6172672,23.21995464854000,SELECTED
bass,386,140.31818594104308,2,BASS_00362,140.34140589569162,6189056,23.21995464854000,SELECTED
bass,387,140.6897052154195,1,BASS_00363,140.70131519274378,6204928,11.60997732428000,SELECTED
bass,388,141.0380045351474,1,BASS_00364,141.04961451247166,6220288,11.60997732426000,SELECTED
bass,389,141.40952380952382,1,BASS_00365,141.43274376417233,6237184,23.21995464851000,SELECTED
bass,390,141.78104308390022,1,BASS_00366,141.79265306122448,6253056,11.60997732426000,SELECTED
bass,391,142.12934240362813,1,BASS_00367,142.14095238095237,6268416,11.60997732424000,SELECTED
bass,392,142.50086167800453,1,BASS_00368,142.5124716553288,6284800,11.60997732427000,SELECTED
bass,393,142.87238095238095,1,BASS_00369,142.87238095238095,6300672,0E-14,SELECTED
bass,394,143.22068027210884,1,BASS_00370,143.24390022675738,6317056,23.21995464854000,SELECTED
bass,395,143.59219954648526,0,,,,,EMPTY
bass,396,143.94049886621315,1,BASS_00371,143.95210884353742,6348288,11.60997732427000,SELECTED
bass,397,144.28879818594103,1,BASS_00372,144.34684807256235,6365696,58.04988662132000,SELECTED
bass,398,144.66031746031746,1,BASS_00373,144.7067573696145,6381568,46.43990929704000,SELECTED
bass,399,145.00861678004534,1,BASS_00374,145.07827664399093,6397952,69.65986394559000,SELECTED
bass,400,145.38013605442177,1,BASS_00375,145.32208616780045,6408704,-58.04988662132000,SELECTED
bass,401,145.72843537414965,2,BASS_00377,145.78648526077097,6429184,58.04988662132000,SELECTED
bass,402,146.09995464852608,2,BASS_00379,146.00707482993198,6438912,-92.87981859410000,SELECTED
bass,403,146.44825396825397,2,BASS_00380,146.35537414965987,6454272,-92.87981859410000,SELECTED
bass,404,146.79655328798185,2,BASS_00383,146.8429931972789,6475776,46.43990929705000,SELECTED
