left_reference_index,left_seconds,right_seconds,interval_seconds,raw_discrete_bpm
35,12.863854875283447,13.235374149659863,0.37151927437641596,161.49902343750054
36,13.235374149659863,13.606893424036281,0.37151927437641774,161.49902343749977
37,13.606893424036281,13.955192743764172,0.3482993197278912,172.26562499999997
38,13.955192743764172,14.32671201814059,0.37151927437641774,161.49902343749977
39,14.32671201814059,14.698231292517006,0.37151927437641596,161.49902343750054
40,14.698231292517006,15.069750566893424,0.37151927437641774,161.49902343749977
41,15.069750566893424,15.441269841269841,0.37151927437641774,161.49902343749977
42,15.441269841269841,15.789569160997733,0.3482993197278912,172.26562499999997
43,15.789569160997733,16.16108843537415,0.37151927437641774,161.49902343749977
44,16.16108843537415,16.532607709750568,0.37151927437641774,161.49902343749977
45,16.532607709750568,16.904126984126986,0.37151927437641774,161.49902343749977
46,16.904126984126986,17.2756462585034,0.3715192743764142,161.49902343750134
47,17.2756462585034,17.647165532879818,0.37151927437641774,161.49902343749977
48,17.647165532879818,18.018684807256236,0.37151927437641774,161.49902343749977
49,18.018684807256236,18.390204081632653,0.37151927437641774,161.49902343749977
50,18.390204081632653,18.76172335600907,0.37151927437641774,161.49902343749977
51,18.76172335600907,19.11002267573696,0.3482993197278894,172.26562500000085
52,19.11002267573696,19.481541950113378,0.37151927437641774,161.49902343749977
53,19.481541950113378,19.82984126984127,0.34829931972789296,172.26562499999912
54,19.82984126984127,20.201360544217685,0.3715192743764142,161.49902343750134
55,20.201360544217685,20.54965986394558,0.34829931972789296,172.26562499999912
56,20.54965986394558,20.897959183673468,0.3482993197278894,172.26562500000085
57,20.897959183673468,21.24625850340136,0.34829931972789296,172.26562499999912
58,21.24625850340136,21.61777777777778,0.37151927437641774,161.49902343749977
59,21.61777777777778,21.966077097505668,0.3482993197278894,172.26562500000085
60,21.966077097505668,22.337596371882086,0.37151927437641774,161.49902343749977
61,22.337596371882086,22.68589569160998,0.34829931972789296,172.26562499999912
62,22.68589569160998,23.057414965986396,0.37151927437641774,161.49902343749977
63,23.057414965986396,23.42893424036281,0.3715192743764142,161.49902343750134
64,23.42893424036281,23.800453514739228,0.37151927437641774,161.49902343749977
65,23.800453514739228,24.171972789115646,0.37151927437641774,161.49902343749977
66,24.171972789115646,24.543492063492064,0.37151927437641774,161.49902343749977
67,24.543492063492064,24.91501133786848,0.37151927437641774,161.49902343749977
68,24.91501133786848,25.2865306122449,0.37151927437641774,161.49902343749977
69,25.2865306122449,25.658049886621317,0.37151927437641774,161.49902343749977
70,25.658049886621317,26.02956916099773,0.3715192743764142,161.49902343750134
71,26.02956916099773,26.40108843537415,0.37151927437641774,161.49902343749977
72,26.40108843537415,26.772607709750567,0.37151927437641774,161.49902343749977
73,26.772607709750567,27.144126984126984,0.37151927437641774,161.49902343749977
74,27.144126984126984,27.515646258503402,0.37151927437641774,161.49902343749977
75,27.515646258503402,27.88716553287982,0.37151927437641774,161.49902343749977
76,27.88716553287982,28.23546485260771,0.3482993197278894,172.26562500000085
77,28.23546485260771,28.606984126984127,0.37151927437641774,161.49902343749977
