method,section,category,reference_N,coverage_pct,event_outside_section_N,N,median_ms,mean_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
HISTORICAL_MATCHED_DOMAIN,WHOLE,BASS_AND_DRUM_SUPPORTED,912,13.267543859649123,0,121,-13.78503388321,-8.948025864211404,105.66721899674,51.4982661735,81.45662589788053,58.02730266457,-155.729810710418,181.15580636573
HISTORICAL_MATCHED_DOMAIN,WHOLE,UNKNOWN,912,26.644736842105264,0,243,11.320017304,20.16508399972606,85.04477617591701,42.11664635158,65.14134668755192,35.773592513767,-173.005098052309,178.29241827097
HISTORICAL_MATCHED_DOMAIN,M1,ALL_SELECTED,129,98.44961240310077,0,127,-0.87653342273,3.381646570911097,93.60813339976801,48.216099596095,75.61658402830926,49.092633018825,-173.005098052309,176.688704810746
HISTORICAL_MATCHED_DOMAIN,M1,BASS_SUPPORTED,129,1.550387596899225,0,2,-15.119386852561501,-15.119386852561501,12.838981731136501,12.8389817311365,18.157062091233637,15.119386852561501,-27.958368583698,-2.280405121425
HISTORICAL_MATCHED_DOMAIN,M1,DRUM_SUPPORTED,129,41.08527131782946,0,53,7.3241854480708,8.433140312334453,99.70609228651301,52.4845355554148,77.95287474886132,51.521266359213,-157.726104954499,169.9022601438602
HISTORICAL_MATCHED_DOMAIN,M1,BASS_AND_DRUM_SUPPORTED,129,19.37984496124031,0,25,-55.145462746765,-40.68901635860173,84.33102374065899,55.171531914235,72.08505614908402,64.565817236421,-155.729810710418,119.618347809126
HISTORICAL_MATCHED_DOMAIN,M1,UNKNOWN,129,36.434108527131784,0,47,16.144137109626,21.914401289832966,72.80946573419955,35.656430988820006,67.99781732671279,35.773592513767,-173.005098052309,176.688704810746
HISTORICAL_MATCHED_DOMAIN,M2,ALL_SELECTED,254,98.03149606299213,0,249,2.4144771983,5.987261435377993,117.00012460007,60.16527963421,79.57248962135137,60.68122679891,-182.82190966028,182.42777410267
HISTORICAL_MATCHED_DOMAIN,M2,BASS_SUPPORTED,254,0.7874015748031497,0,2,46.977678684735004,46.977678684735004,39.461408533025,39.46140853302501,55.80685913774934,46.977678684735004,7.51627015171,86.43908721776
HISTORICAL_MATCHED_DOMAIN,M2,DRUM_SUPPORTED,254,53.54330708661417,0,136,-5.2069905757225,-7.144397279607038,146.4313833956145,73.3167792967425,88.24790837474448,71.958133956995,-182.82190966028,182.42777410267
HISTORICAL_MATCHED_DOMAIN,M2,BASS_AND_DRUM_SUPPORTED,254,21.653543307086615,0,55,2.69223548556,19.408957993998605,61.127695773119996,32.40117127821,65.74916778857718,33.53787827058,-115.58912416883,154.88145302406
HISTORICAL_MATCHED_DOMAIN,M2,UNKNOWN,254,22.04724409448819,0,56,7.05960256638,23.232465721362214,90.160626357845,38.91909098322,64.52834037896717,39.6447413174655,-107.22979768047,178.29241827097
HISTORICAL_MATCHED_DOMAIN,M3,ALL_SELECTED,127,98.4251968503937,0,125,-2.70000358235,0.9676485085794402,55.93147209472,28.0534713446,57.063863761739675,27.4813715999,-135.11494591069,154.98403441868
HISTORICAL_MATCHED_DOMAIN,M3,BASS_SUPPORTED,127,0.0,0,0,,,,,,,,
HISTORICAL_MATCHED_DOMAIN,M3,DRUM_SUPPORTED,127,71.65354330708661,0,91,-5.8974629115,-4.419473690591758,54.250825324245,27.62313766871,56.16372926230924,26.97266268758,-135.11494591069,154.98403441868
HISTORICAL_MATCHED_DOMAIN,M3,BASS_AND_DRUM_SUPPORTED,127,0.0,0,0,,,,,,,,
HISTORICAL_MATCHED_DOMAIN,M3,UNKNOWN,127,26.771653543307085,0,34,17.69042061991,15.386122629890588,61.5141222953575,31.186664974870002,57.78151639273436,33.236799537020005,-122.79733894598,121.1314889031
HISTORICAL_MATCHED_DOMAIN,M4,ALL_SELECTED,135,88.14814814814815,0,119,-1.33552122665,-0.46694469421092066,121.68692510168,60.93886841528,85.17918323296347,60.80282995862,-167.75560460411,170.26661128393
HISTORICAL_MATCHED_DOMAIN,M4,BASS_SUPPORTED,135,0.0,0,0,,,,,,,,
HISTORICAL_MATCHED_DOMAIN,M4,DRUM_SUPPORTED,135,67.4074074074074,0,91,-16.00497709566,-7.990722852406812,130.46343737310002,68.56918545934,88.18885559059972,65.81215561305,-167.75560460411,170.26661128393
HISTORICAL_MATCHED_DOMAIN,M4,BASS_AND_DRUM_SUPPORTED,135,2.962962962962963,0,4,147.245998172865,135.2730163441,19.142752740800006,5.7252031197400015,31.000174515725337,147.245998172865,89.34823241062,157.25183662005
HISTORICAL_MATCHED_DOMAIN,M4,UNKNOWN,135,17.77777777777778,0,24,1.6952342107849998,5.437387315896668,63.2363482943025,29.670562424695,56.57669486316938,30.259077338455,-105.54584445092,105.99207656885
HISTORICAL_MATCHED_DOMAIN,M56,ALL_SELECTED,267,97.37827715355806,0,260,-5.5201509161,-2.5371766185439233,96.5967752936175,50.66566836255,75.01503423689563,49.414636934965,-155.5117404421,181.15580636573
HISTORICAL_MATCHED_DOMAIN,M56,BASS_SUPPORTED,267,0.7490636704119851,0,2,-43.72547331747,-43.72547331747,39.99230638093,39.992306380929996,56.55766207449127,43.72547331747,-83.7177796984,-3.73316693654
HISTORICAL_MATCHED_DOMAIN,M56,DRUM_SUPPORTED,267,52.059925093632955,0,139,1.8128723759,-5.853521614768488,85.00626964548499,43.72631330715,71.17648447215039,44.8150767006,-155.5117404421,175.75661562253
HISTORICAL_MATCHED_DOMAIN,M56,BASS_AND_DRUM_SUPPORTED,267,13.857677902621722,0,37,-67.7408475895,-45.24514799056379,79.18870248278,39.78366438747001,80.5932492291417,72.71771920659,-132.6728119352,181.15580636573
HISTORICAL_MATCHED_DOMAIN,M56,UNKNOWN,267,30.711610486891384,0,82,10.473021052925,23.3596951941122,92.59070524823,44.94621665497,69.73566922624856,39.338398710505004,-151.985266233,177.94674961294
