quarter_id,quarter_timestamp,global_winner_id,global_state,BASS_candidate_N,BASS_id,BASS_timestamp,BASS_state,BASS_offset_ms,BASS_old_role,BASS_tie_ids,DRUM_candidate_N,DRUM_id,DRUM_timestamp,DRUM_state,DRUM_offset_ms,DRUM_old_role,DRUM_tie_ids,status,distinct_candidate_combination_exists,BASS_DRUM_PAIR,DRUM_MINUS_BASS_MS
28,10.286439909297052,F_MIX_00052,SELECTED,1,F_MIX_00053,10.356099773242631,BASS_AND_DRUM_SUPPORTED,69.659863945579000,CONTEXT,[],2,F_MIX_00052,10.216780045351474,DRUM_SUPPORTED,-69.659863945578000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,-139.319727891157000
29,10.634739229024943,F_MIX_00054,SELECTED,0,,,,,,[],1,F_MIX_00055,10.716009070294785,DRUM_SUPPORTED,81.269841269842000,CONTEXT,[],DRUM_ONLY,False,UNRESOLVED,
30,11.00625850340136,F_MIX_00057,SELECTED,1,F_MIX_00056,10.936598639455783,BASS_SUPPORTED,-69.659863945577000,CONTEXT,[],0,,,,,,[],BASS_ONLY,False,UNRESOLVED,
31,11.377777777777778,F_MIX_00059,SELECTED,0,,,,,,[],2,F_MIX_00059,11.34294784580499,DRUM_SUPPORTED,-34.829931972788000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
32,11.749297052154194,F_MIX_00062,SELECTED,0,,,,,,[],4,F_MIX_00062,11.72607709750567,DRUM_SUPPORTED,-23.219954648524000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
33,12.120816326530612,F_MIX_00066,SELECTED,1,F_MIX_00066,12.144036281179138,BASS_AND_DRUM_SUPPORTED,23.219954648526000,PRIMARY,[],1,F_MIX_00066,12.144036281179138,BASS_AND_DRUM_SUPPORTED,23.219954648526000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
34,12.49233560090703,F_MIX_00067,SELECTED,1,F_MIX_00067,12.527165532879819,BASS_AND_DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],1,F_MIX_00067,12.527165532879819,BASS_AND_DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
35,12.863854875283447,F_MIX_00068,SELECTED,0,,,,,,[],1,F_MIX_00068,12.910294784580499,DRUM_SUPPORTED,46.439909297052000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
36,13.235374149659863,F_MIX_00070,SELECTED,1,F_MIX_00069,13.165714285714285,BASS_AND_DRUM_SUPPORTED,-69.659863945578000,CONTEXT,[],2,F_MIX_00070,13.25859410430839,DRUM_SUPPORTED,23.219954648527000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,92.879818594105000
37,13.606893424036281,F_MIX_00073,SELECTED,0,,,,,,[],2,F_MIX_00073,13.64172335600907,DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
38,13.955192743764172,F_MIX_00074,SELECTED,1,F_MIX_00075,14.001632653061224,BASS_AND_DRUM_SUPPORTED,46.439909297052000,CONTEXT,[],1,F_MIX_00075,14.001632653061224,BASS_AND_DRUM_SUPPORTED,46.439909297052000,CONTEXT,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
39,14.32671201814059,F_MIX_00076,SELECTED,0,,,,,,[],1,F_MIX_00076,14.373151927437641,DRUM_SUPPORTED,46.439909297051000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
40,14.698231292517006,F_MIX_00078,SELECTED,0,,,,,,[],1,F_MIX_00078,14.733061224489797,DRUM_SUPPORTED,34.829931972791000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
41,15.069750566893424,F_MIX_00081,SELECTED,1,F_MIX_00081,15.069750566893424,BASS_AND_DRUM_SUPPORTED,0E-15,PRIMARY,[],1,F_MIX_00081,15.069750566893424,BASS_AND_DRUM_SUPPORTED,0E-15,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
42,15.441269841269841,F_MIX_00083,SELECTED,1,F_MIX_00083,15.464489795918368,BASS_AND_DRUM_SUPPORTED,23.219954648527000,PRIMARY,[],1,F_MIX_00083,15.464489795918368,BASS_AND_DRUM_SUPPORTED,23.219954648527000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
43,15.789569160997733,F_MIX_00085,SELECTED,0,,,,,,[],1,F_MIX_00085,15.824399092970522,DRUM_SUPPORTED,34.829931972789000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
44,16.16108843537415,F_MIX_00087,SELECTED,1,F_MIX_00087,16.195918367346938,BASS_AND_DRUM_SUPPORTED,34.829931972788000,PRIMARY,[],1,F_MIX_00087,16.195918367346938,BASS_AND_DRUM_SUPPORTED,34.829931972788000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
45,16.532607709750568,F_MIX_00088,SELECTED,0,,,,,,[],1,F_MIX_00088,16.555827664399093,DRUM_SUPPORTED,23.219954648525000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
46,16.904126984126986,F_MIX_00090,SELECTED,1,F_MIX_00090,16.938956916099773,BASS_AND_DRUM_SUPPORTED,34.829931972787000,PRIMARY,[],1,F_MIX_00090,16.938956916099773,BASS_AND_DRUM_SUPPORTED,34.829931972787000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
47,17.2756462585034,F_MIX_00091,SELECTED,0,,,,,,[],1,F_MIX_00091,17.29886621315193,DRUM_SUPPORTED,23.21995464853000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
48,17.647165532879818,F_MIX_00094,SELECTED,1,F_MIX_00094,17.670385487528346,BASS_AND_DRUM_SUPPORTED,23.219954648528000,PRIMARY,[],2,F_MIX_00094,17.670385487528346,BASS_AND_DRUM_SUPPORTED,23.219954648528000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
49,18.018684807256236,F_MIX_00097,SELECTED,0,,,,,,[],2,F_MIX_00097,18.04190476190476,DRUM_SUPPORTED,23.219954648524000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
50,18.390204081632653,F_MIX_00100,SELECTED,0,,,,,,[],1,F_MIX_00100,18.401814058956916,DRUM_SUPPORTED,11.609977324263000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
51,18.76172335600907,F_MIX_00102,SELECTED,0,,,,,,[],1,F_MIX_00102,18.784943310657596,DRUM_SUPPORTED,23.219954648526000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
52,19.11002267573696,F_MIX_00104,SELECTED,1,F_MIX_00104,19.156462585034014,BASS_AND_DRUM_SUPPORTED,46.439909297054000,PRIMARY,[],1,F_MIX_00104,19.156462585034014,BASS_AND_DRUM_SUPPORTED,46.439909297054000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
53,19.481541950113378,F_MIX_00105,SELECTED,0,,,,,,[],1,F_MIX_00105,19.504761904761907,DRUM_SUPPORTED,23.219954648529000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
54,19.82984126984127,F_MIX_00108,SELECTED,1,F_MIX_00106,19.748571428571427,BASS_SUPPORTED,-81.269841269843000,CONTEXT,[],1,F_MIX_00108,19.86467120181406,DRUM_SUPPORTED,34.82993197279000,PRIMARY,[],DISTINCT_PAIR,True,RESOLVED_OBSERVABLE,116.099773242633000
55,20.201360544217685,F_MIX_00110,SELECTED,1,F_MIX_00110,20.21297052154195,BASS_AND_DRUM_SUPPORTED,11.609977324265000,PRIMARY,[],1,F_MIX_00110,20.21297052154195,BASS_AND_DRUM_SUPPORTED,11.609977324265000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
56,20.54965986394558,F_MIX_00112,SELECTED,0,,,,,,[],2,F_MIX_00112,20.58448979591837,DRUM_SUPPORTED,34.82993197279000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
57,20.897959183673468,F_MIX_00113,SELECTED,0,,,,,,[],2,F_MIX_00113,20.839909297052156,DRUM_SUPPORTED,-58.049886621312000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
58,21.24625850340136,F_MIX_00115,SELECTED,0,,,,,,[],1,F_MIX_00116,21.304308390022676,DRUM_SUPPORTED,58.049886621316000,CONTEXT,[],DRUM_ONLY,False,UNRESOLVED,
59,21.61777777777778,F_MIX_00117,SELECTED,0,,,,,,[],1,F_MIX_00117,21.559727891156463,DRUM_SUPPORTED,-58.049886621317000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
60,21.966077097505668,F_MIX_00118,SELECTED,0,,,,,,[],2,F_MIX_00118,21.93124716553288,DRUM_SUPPORTED,-34.829931972788000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
61,22.337596371882086,F_MIX_00120,SELECTED,0,,,,,,[],2,F_MIX_00120,22.27954648526077,DRUM_SUPPORTED,-58.049886621316000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
62,22.68589569160998,F_MIX_00122,SELECTED,0,,,,,,[],2,F_MIX_00122,22.651065759637188,DRUM_SUPPORTED,-34.829931972792000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
63,23.057414965986396,F_MIX_00124,SELECTED,1,F_MIX_00125,23.11546485260771,BASS_AND_DRUM_SUPPORTED,58.049886621314000,CONTEXT,[],1,F_MIX_00125,23.11546485260771,BASS_AND_DRUM_SUPPORTED,58.049886621314000,CONTEXT,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
64,23.42893424036281,F_MIX_00126,SELECTED,0,,,,,,[],1,F_MIX_00126,23.394104308390023,DRUM_SUPPORTED,-34.829931972787000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
65,23.800453514739228,F_MIX_00129,SELECTED,1,F_MIX_00129,23.84689342403628,BASS_AND_DRUM_SUPPORTED,46.439909297052000,PRIMARY,[],2,F_MIX_00129,23.84689342403628,BASS_AND_DRUM_SUPPORTED,46.439909297052000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
66,24.171972789115646,F_MIX_00130,SELECTED,0,,,,,,[],1,F_MIX_00130,24.18358276643991,DRUM_SUPPORTED,11.609977324264000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
67,24.543492063492064,F_MIX_00132,SELECTED,1,F_MIX_00132,24.555102040816326,BASS_AND_DRUM_SUPPORTED,11.609977324262000,PRIMARY,[],2,F_MIX_00132,24.555102040816326,BASS_AND_DRUM_SUPPORTED,11.609977324262000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
68,24.91501133786848,F_MIX_00135,SELECTED,1,F_MIX_00135,24.94984126984127,BASS_AND_DRUM_SUPPORTED,34.82993197279000,PRIMARY,[],1,F_MIX_00135,24.94984126984127,BASS_AND_DRUM_SUPPORTED,34.82993197279000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
69,25.2865306122449,F_MIX_00138,SELECTED,1,F_MIX_00138,25.33297052154195,BASS_AND_DRUM_SUPPORTED,46.43990929705000,PRIMARY,[],3,F_MIX_00138,25.33297052154195,BASS_AND_DRUM_SUPPORTED,46.43990929705000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
70,25.658049886621317,F_MIX_00140,SELECTED,1,F_MIX_00140,25.66965986394558,BASS_AND_DRUM_SUPPORTED,11.609977324263000,PRIMARY,[],2,F_MIX_00140,25.66965986394558,BASS_AND_DRUM_SUPPORTED,11.609977324263000,PRIMARY,[],SHARED_DUAL_MARKER,True,UNRESOLVED,
71,26.02956916099773,F_MIX_00142,SELECTED,0,,,,,,[],1,F_MIX_00142,26.041179138321997,DRUM_SUPPORTED,11.609977324267000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
72,26.40108843537415,F_MIX_00145,SELECTED,0,,,,,,[],1,F_MIX_00145,26.40108843537415,DRUM_SUPPORTED,0E-14,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
73,26.772607709750567,F_MIX_00149,SELECTED,0,,,,,,[],1,F_MIX_00149,26.772607709750567,DRUM_SUPPORTED,0E-15,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
74,27.144126984126984,F_MIX_00150,SELECTED,1,F_MIX_00150,27.144126984126984,BASS_AND_DRUM_SUPPORTED,0E-15,PRIMARY,[],1,F_MIX_00150,27.144126984126984,BASS_AND_DRUM_SUPPORTED,0E-15,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
75,27.515646258503402,F_MIX_00151,SELECTED,1,F_MIX_00151,27.50403628117914,BASS_AND_DRUM_SUPPORTED,-11.609977324262000,PRIMARY,[],1,F_MIX_00151,27.50403628117914,BASS_AND_DRUM_SUPPORTED,-11.609977324262000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
76,27.88716553287982,F_MIX_00152,SELECTED,0,,,,,,[],1,F_MIX_00152,27.805895691609976,DRUM_SUPPORTED,-81.269841269844000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
77,28.23546485260771,F_MIX_00154,SELECTED,1,F_MIX_00154,28.23546485260771,BASS_AND_DRUM_SUPPORTED,0E-14,PRIMARY,[],1,F_MIX_00154,28.23546485260771,BASS_AND_DRUM_SUPPORTED,0E-14,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
78,28.606984126984127,F_MIX_00156,SELECTED,1,F_MIX_00156,28.606984126984127,BASS_AND_DRUM_SUPPORTED,0E-15,PRIMARY,[],1,F_MIX_00156,28.606984126984127,BASS_AND_DRUM_SUPPORTED,0E-15,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
79,28.955283446712016,F_MIX_00157,SELECTED,1,F_MIX_00157,28.943673469387754,BASS_AND_DRUM_SUPPORTED,-11.609977324262000,PRIMARY,[],1,F_MIX_00157,28.943673469387754,BASS_AND_DRUM_SUPPORTED,-11.609977324262000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
80,29.326802721088434,F_MIX_00158,SELECTED,1,F_MIX_00158,29.31519274376417,BASS_AND_DRUM_SUPPORTED,-11.609977324264000,PRIMARY,[],1,F_MIX_00158,29.31519274376417,BASS_AND_DRUM_SUPPORTED,-11.609977324264000,PRIMARY,[],SHARED_DUAL_MARKER,False,UNRESOLVED,
81,29.675102040816327,F_MIX_00160,SELECTED,0,,,,,,[],1,F_MIX_00160,29.68671201814059,DRUM_SUPPORTED,11.609977324263000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
82,30.046621315192745,F_MIX_00162,SELECTED,0,,,,,,[],1,F_MIX_00162,30.06984126984127,DRUM_SUPPORTED,23.219954648525000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
83,30.394920634920634,F_MIX_00163,SELECTED,0,,,,,,[],1,F_MIX_00163,30.37170068027211,DRUM_SUPPORTED,-23.219954648524000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
84,30.743219954648527,F_MIX_00165,SELECTED,0,,,,,,[],1,F_MIX_00165,30.778049886621314,DRUM_SUPPORTED,34.829931972787000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
85,31.114739229024945,F_MIX_00167,SELECTED,0,,,,,,[],1,F_MIX_00167,31.13795918367347,DRUM_SUPPORTED,23.219954648525000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
86,31.463038548752834,F_MIX_00169,SELECTED,0,,,,,,[],1,F_MIX_00169,31.509478458049887,DRUM_SUPPORTED,46.439909297053000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
87,31.834557823129252,F_MIX_00170,SELECTED,0,,,,,,[],1,F_MIX_00170,31.86938775510204,DRUM_SUPPORTED,34.829931972788000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
88,32.182857142857145,F_MIX_00171,SELECTED,0,,,,,,[],0,,,,,,[],NEITHER,False,UNRESOLVED,
89,32.53115646258503,F_MIX_00173,SELECTED,0,,,,,,[],2,F_MIX_00173,32.496326530612244,DRUM_SUPPORTED,-34.829931972786000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
90,32.90267573696145,F_MIX_00176,SELECTED,0,,,,,,[],1,F_MIX_00177,32.97233560090703,DRUM_SUPPORTED,69.65986394558000,CONTEXT,[],DRUM_ONLY,False,UNRESOLVED,
91,33.274195011337866,F_MIX_00179,SELECTED,0,,,,,,[],2,F_MIX_00179,33.32063492063492,DRUM_SUPPORTED,46.439909297054000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
92,33.62249433106576,F_MIX_00180,SELECTED,0,,,,,,[],2,F_MIX_00180,33.57605442176871,DRUM_SUPPORTED,-46.43990929705000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
93,33.99401360544218,F_MIX_00182,SELECTED,0,,,,,,[],1,F_MIX_00183,34.06367346938776,DRUM_SUPPORTED,69.65986394558000,CONTEXT,[],DRUM_ONLY,False,UNRESOLVED,
94,34.365532879818595,F_MIX_00186,SELECTED,0,,,,,,[],1,F_MIX_00186,34.40036281179138,DRUM_SUPPORTED,34.829931972785000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
95,34.71383219954649,F_MIX_00188,SELECTED,0,,,,,,[],2,F_MIX_00188,34.76027210884354,DRUM_SUPPORTED,46.43990929705000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
96,35.085351473922906,F_MIX_00189,SELECTED,0,,,,,,[],1,F_MIX_00190,35.15501133786848,DRUM_SUPPORTED,69.659863945574000,CONTEXT,[],DRUM_ONLY,False,UNRESOLVED,
97,35.456870748299316,F_MIX_00191,SELECTED,0,,,,,,[],1,F_MIX_00191,35.49170068027211,DRUM_SUPPORTED,34.829931972794000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
98,35.828390022675734,F_MIX_00193,SELECTED,0,,,,,,[],2,F_MIX_00193,35.86321995464853,DRUM_SUPPORTED,34.829931972796000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
99,36.19990929705215,F_MIX_00195,SELECTED,0,,,,,,[],1,F_MIX_00195,36.22312925170068,DRUM_SUPPORTED,23.21995464853000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
100,36.57142857142857,F_MIX_00196,SELECTED,0,,,,,,[],1,F_MIX_00196,36.594648526077094,DRUM_SUPPORTED,23.219954648524000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
101,36.94294784580499,F_MIX_00198,SELECTED,0,,,,,,[],1,F_MIX_00198,36.95455782312925,DRUM_SUPPORTED,11.60997732426000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
102,37.314467120181405,F_MIX_00199,SELECTED,0,,,,,,[],1,F_MIX_00199,37.314467120181405,DRUM_SUPPORTED,0E-15,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
103,37.68598639455782,F_MIX_00200,SELECTED,0,,,,,,[],1,F_MIX_00200,37.697596371882085,DRUM_SUPPORTED,11.609977324265000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
104,38.05750566893424,F_MIX_00204,SELECTED,0,,,,,,[],1,F_MIX_00204,38.0691156462585,DRUM_SUPPORTED,11.60997732426000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
105,38.42902494331066,F_MIX_00207,SELECTED,0,,,,,,[],1,F_MIX_00207,38.44063492063492,DRUM_SUPPORTED,11.60997732426000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
106,38.77732426303855,F_MIX_00209,SELECTED,0,,,,,,[],1,F_MIX_00209,38.81215419501134,DRUM_SUPPORTED,34.82993197279000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
107,39.14884353741497,F_MIX_00210,SELECTED,0,,,,,,[],1,F_MIX_00210,39.172063492063494,DRUM_SUPPORTED,23.219954648524000,PRIMARY,[],DRUM_ONLY,False,UNRESOLVED,
