section,source,cohort,coverage_pct,N,negative,positive,exact_zero,negative_pct,positive_pct,exact_zero_pct,median_ms,mean_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
M2,BASS,PRIMARY_NONSHARED,2.7237354085603114,7,4,3,0,57.142857142857146,42.857142857142854,0.0,-34.82993197278,-1.6585681891771438,81.26984126984499,11.609977324269998,45.178861662460704,46.43990929705,-46.43990929705,46.43990929706
M2,BASS,ALL_SUPPORT_SLOTS,31.90661478599222,82,15,57,10,18.29268292682927,69.51219512195122,12.195121951219512,11.609977324265,12.17631768154277,31.927437641717503,11.609977324265,23.849429253175963,23.21995464852,-92.87981859411,46.43990929706
M2,BASS,DISTINCT_PAIRS_ONLY,2.7237354085603114,7,4,3,0,57.142857142857146,42.857142857142854,0.0,-34.82993197278,-1.6585681891771438,81.26984126984499,11.609977324269998,45.178861662460704,46.43990929705,-46.43990929705,46.43990929706
M2,DRUM,PRIMARY_NONSHARED,65.36964980544747,168,63,92,13,37.5,54.76190476190476,7.738095238095238,11.60997732426,1.105712126120422,69.6598639455625,23.21995464855,42.22012324114651,34.82993197278,-104.48979591837,81.26984126984
M2,DRUM,ALL_SUPPORT_SLOTS,94.55252918287938,243,74,146,23,30.45267489711934,60.08230452674897,9.465020576131687,11.60997732426,4.921101499584271,46.4399092970445,23.219954648522,37.370631650473264,23.21995464853,-104.48979591837,81.26984126984
M2,DRUM,DISTINCT_PAIRS_ONLY,2.7237354085603114,7,3,2,2,42.857142857142854,28.571428571428573,28.571428571428573,0.0,-14.92711370262143,52.24489795918001,34.82993197278,46.78416834033485,34.82993197278,-92.8798185941,46.43990929705
M2,DRUM_MINUS_BASS,DISTINCT_PAIRS_ONLY,2.7237354085603114,7,3,4,0,42.857142857142854,57.142857142857146,0.0,34.82993197278,-13.268545513444284,133.514739229025,58.04988662132,89.28582627601752,81.26984126984,-139.31972789116,92.8798185941
M3,BASS,PRIMARY_NONSHARED,0.0,0,0,0,0,,,,,,,,,,,
M3,BASS,ALL_SUPPORT_SLOTS,0.0,0,0,0,0,,,,,,,,,,,
M3,BASS,DISTINCT_PAIRS_ONLY,0.0,0,0,0,0,,,,,,,,,,,
M3,DRUM,PRIMARY_NONSHARED,90.4,113,16,94,3,14.15929203539823,83.1858407079646,2.6548672566371683,23.21995464854,20.54863243232478,34.829931972770005,11.609977324279999,34.795667397870794,34.82993197278,-81.26984126984,81.26984126985
M3,DRUM,ALL_SUPPORT_SLOTS,90.4,113,16,94,3,14.15929203539823,83.1858407079646,2.6548672566371683,23.21995464854,20.54863243232478,34.829931972770005,11.609977324279999,34.795667397870794,34.82993197278,-81.26984126984,81.26984126985
M3,DRUM,DISTINCT_PAIRS_ONLY,0.0,0,0,0,0,,,,,,,,,,,
M3,DRUM_MINUS_BASS,DISTINCT_PAIRS_ONLY,0.0,0,0,0,0,,,,,,,,,,,
M4,BASS,PRIMARY_NONSHARED,0.7874015748031497,1,0,1,0,0.0,100.0,0.0,69.65986394556,69.65986394556,0.0,0.0,,69.65986394556,69.65986394556,69.65986394556
M4,BASS,ALL_SUPPORT_SLOTS,6.299212598425197,8,0,8,0,0.0,100.0,0.0,46.439909297045006,40.634920634915005,23.21995464852,11.609977324259999,16.41898739081461,46.439909297045006,23.21995464851,69.65986394556
M4,BASS,DISTINCT_PAIRS_ONLY,0.7874015748031497,1,0,1,0,0.0,100.0,0.0,69.65986394556,69.65986394556,0.0,0.0,,69.65986394556,69.65986394556,69.65986394556
