stem,full_mix_id,stem_id,full_mix_state,full_mix_sample,stem_sample,FM_MINUS_STEM_ms
bass,F_MIX_00930,BASS_00518,DRUM_SUPPORTED,8134656,8135168,-11.609977324263038
bass,F_MIX_00933,BASS_00521,DRUM_SUPPORTED,8160768,8160768,0.0
bass,F_MIX_00935,BASS_00522,DRUM_SUPPORTED,8182272,8181760,11.609977324263038
bass,F_MIX_00938,BASS_00523,DRUM_SUPPORTED,8208896,8208896,0.0
bass,F_MIX_00940,BASS_00524,DRUM_SUPPORTED,8230912,8230912,0.0
bass,F_MIX_00943,BASS_00526,DRUM_SUPPORTED,8246784,8247296,-11.609977324263038
bass,F_MIX_00946,BASS_00527,DRUM_SUPPORTED,8264704,8264704,0.0
bass,F_MIX_00948,BASS_00528,DRUM_SUPPORTED,8279040,8279552,-11.609977324263038
bass,F_MIX_00951,BASS_00531,DRUM_SUPPORTED,8326656,8327168,-11.609977324263038
bass,F_MIX_00952,BASS_00532,DRUM_SUPPORTED,8339456,8338944,11.609977324263038
bass,F_MIX_00953,BASS_00533,DRUM_SUPPORTED,8343040,8342528,11.609977324263038
bass,F_MIX_00957,BASS_00536,DRUM_SUPPORTED,8390656,8390144,11.609977324263038
bass,F_MIX_00960,BASS_00538,DRUM_SUPPORTED,8437760,8437248,11.609977324263038
bass,F_MIX_00993,BASS_00541,DRUM_SUPPORTED,8714240,8714240,0.0
bass,F_MIX_00995,BASS_00542,DRUM_SUPPORTED,8730112,8730112,0.0
bass,F_MIX_00997,BASS_00545,DRUM_SUPPORTED,8779264,8778752,11.609977324263038
bass,F_MIX_00998,BASS_00546,DRUM_SUPPORTED,8795136,8794624,11.609977324263038
bass,F_MIX_01000,BASS_00548,DRUM_SUPPORTED,8827392,8826880,11.609977324263038
bass,F_MIX_01002,BASS_00552,DRUM_SUPPORTED,8875008,8874496,11.609977324263038
bass,F_MIX_01006,BASS_00554,DRUM_SUPPORTED,8906752,8906752,0.0
bass,F_MIX_01010,BASS_00556,DRUM_SUPPORTED,8938496,8937984,11.609977324263038
bass,F_MIX_01011,BASS_00557,UNKNOWN,8946688,8946688,0.0
bass,F_MIX_01014,BASS_00559,DRUM_SUPPORTED,8969728,8969216,11.609977324263038
bass,F_MIX_01016,BASS_00560,DRUM_SUPPORTED,8985600,8985600,0.0
bass,F_MIX_01034,BASS_00561,UNKNOWN,9235968,9235456,11.609977324263038
bass,F_MIX_01036,BASS_00562,DRUM_SUPPORTED,9260544,9260032,11.609977324263038
bass,F_MIX_01040,BASS_00563,DRUM_SUPPORTED,9276416,9275904,11.609977324263038
bass,F_MIX_01043,BASS_00564,DRUM_SUPPORTED,9291264,9291264,0.0
bass,F_MIX_01046,BASS_00565,DRUM_SUPPORTED,9307648,9308160,-11.609977324263038
bass,F_MIX_01049,BASS_00566,DRUM_SUPPORTED,9323008,9323008,0.0
bass,F_MIX_01053,BASS_00567,DRUM_SUPPORTED,9339904,9339392,11.609977324263038
bass,F_MIX_01055,BASS_00569,DRUM_SUPPORTED,9355776,9355776,0.0
bass,F_MIX_01057,BASS_00571,DRUM_SUPPORTED,9372160,9372160,0.0
bass,F_MIX_01059,BASS_00572,DRUM_SUPPORTED,9388032,9388032,0.0
bass,F_MIX_01061,BASS_00573,DRUM_SUPPORTED,9404416,9404416,0.0
bass,F_MIX_01067,BASS_00575,DRUM_SUPPORTED,9452032,9452032,0.0
bass,F_MIX_01069,BASS_00576,DRUM_SUPPORTED,9468416,9467904,11.609977324263038
bass,F_MIX_01073,BASS_00578,DRUM_SUPPORTED,9500160,9500672,-11.609977324263038
bass,F_MIX_01104,BASS_00579,BASS_AND_DRUM_SUPPORTED,9774080,9774592,-11.609977324263038
