clip_id,native_note_id,onset_local_s,offset_local_s,duration_s,midi_pitch,amplitude,pitch_bends,episode_ids,routes
BASS,BP_0032,54.88522630385488,55.130319727891155,0.24509342403627699,43,0.6777759790420532,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF020,SECURE_ROUTE
BASS,BP_0033,55.188369614512474,55.37412925170068,0.18575963718820532,41,0.6514647603034973,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1]",HF021,SECURE_ROUTE
BASS,BP_0034,55.49022902494331,55.80369841269841,0.3134693877550987,35,0.3731350302696228,"[1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF022,SECURE_ROUTE
BASS,BP_0035,55.87335827664399,56.221657596371884,0.34829931972789296,34,0.587192177772522,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",HF023,AMBIGUOUS_ROUTE
BASS,BP_0036,55.88496825396825,56.09394784580499,0.2089795918367372,46,0.32254284620285034,"[-1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]",HF023,AMBIGUOUS_ROUTE
BASS,BP_0037,56.29131746031746,56.558346938775514,0.26702947845805625,44,0.5881540179252625,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]",HF024,SECURE_ROUTE
BASS,BP_0038,56.65122675736961,56.89503628117914,0.24380952380952436,43,0.6398770809173584,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF025,SECURE_ROUTE
BASS,BP_0039,56.95437006802721,57.16334965986395,0.2089795918367372,47,0.3900283873081207,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF026,AMBIGUOUS_ROUTE
BASS,BP_0040,57.03563990929705,57.209789569160996,0.17414965986394293,35,0.4190000891685486,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF027,AMBIGUOUS_ROUTE
BASS,BP_0041,57.314279365079365,57.581308843537414,0.26702947845804914,48,0.39161863923072815,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF028,AMBIGUOUS_ROUTE
