attack_event_id,source_episode_ids,hypothesis_ids,pitch_hypotheses,route,BP_native_onsets_s,search_windows_s,candidate_count,selector_status,selected_acoustic_timestamp_s,timing_provenance,shared_attack,nearest_PLP_quarter,measure,beat,PLP_time_s,delta_B_ms,quarter_multiplicity,abstention_reason,notes
UNRESOLVED_HF011,HF011,BP_0017,[29],SECURE_ROUTE,"{""BP_0017"": 51.18035963718821}","{""BP_0017"": [51.03035963718821, 51.33035963718821]}",42,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF013,HF013,BP_0021;BP_0020,[38],AMBIGUOUS_ROUTE,"{""BP_0021"": 51.87695827664399, ""BP_0020"": 51.86534829931973}","{""BP_0021"": [51.72695827664399, 52.02695827664399], ""BP_0020"": [51.71534829931973, 52.015348299319726]}",72,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF015,HF015,BP_0024;BP_0025;BP_0026,[36],AMBIGUOUS_ROUTE,"{""BP_0024"": 52.573556916099776, ""BP_0025"": 52.5967768707483, ""BP_0026"": 52.724486621315194}","{""BP_0024"": [52.42355691609978, 52.723556916099774], ""BP_0025"": [52.4467768707483, 52.7467768707483], ""BP_0026"": [52.574486621315195, 52.87448662131519]}",95,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF016,HF016,BP_0027;BP_0028,[43],AMBIGUOUS_ROUTE,"{""BP_0027"": 52.887026303854874, ""BP_0028"": 53.0856798185941}","{""BP_0027"": [52.737026303854876, 53.03702630385487], ""BP_0028"": [52.9356798185941, 53.2356798185941]}",95,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF017,HF017,BP_0029,[41],SECURE_ROUTE,"{""BP_0029"": 53.37592925170068}","{""BP_0029"": [53.225929251700684, 53.52592925170068]}",43,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF018,HF018,BP_0030,[46],SECURE_ROUTE,"{""BP_0030"": 53.72422857142857}","{""BP_0030"": [53.57422857142857, 53.87422857142857]}",49,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF019,HF019,BP_0031,[44],SECURE_ROUTE,"{""BP_0031"": 54.40921723356009}","{""BP_0031"": [54.25921723356009, 54.55921723356009]}",60,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF020,HF020,BP_0032,[43],SECURE_ROUTE,"{""BP_0032"": 54.88522630385488}","{""BP_0032"": [54.73522630385488, 55.03522630385488]}",53,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF021,HF021,BP_0033,[41],SECURE_ROUTE,"{""BP_0033"": 55.188369614512474}","{""BP_0033"": [55.038369614512476, 55.33836961451247]}",41,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF022,HF022,BP_0034,[35],SECURE_ROUTE,"{""BP_0034"": 55.49022902494331}","{""BP_0034"": [55.34022902494331, 55.64022902494331]}",41,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
