instrument,quarter_ID,measure,old_s,new_s,signed_change_ms,absolute_change_ms,old_common10
DRUM,Q154,M38,56.2401814058957,56.24129271767763,1.1113117819334661,1.1113117819334661,YES
BASS,Q155,M39,56.61793492063492,56.60626057648721,-11.674344147714066,11.674344147714066,YES
DRUM,Q155,M39,56.60734693877551,56.60889308260091,1.5461438254007476,1.5461438254007476,YES
BASS,Q156,M39,56.931992819349965,56.94249842303087,10.505603680904585,10.505603680904585,YES
DRUM,Q156,M39,56.96145124716553,56.94817178910838,-13.279458057148474,13.279458057148474,YES
BASS,Q157,M39,57.24605071806501,57.21529331975333,-30.75739831167823,30.75739831167823,YES
DRUM,Q157,M39,57.315555555555555,57.248741168724365,-66.81438683119012,66.81438683119012,YES
BASS,Q158,M39,57.56010861678005,57.589948301931784,29.839685151735296,29.839685151735296,YES
DRUM,Q158,M39,57.66965986394558,57.66624497259067,-3.414891354914573,3.414891354914573,YES
BASS,Q159,M40,58.12697777777778,58.0988193205361,-28.158457241680424,28.158457241680424,YES
DRUM,Q159,M40,57.97732426303855,57.985719952939505,8.395689900957848,8.395689900957848,YES
BASS,Q160,M40,58.46516689342404,58.45027135503804,-14.895538385999885,14.895538385999885,YES
DRUM,Q160,M40,58.366258503401355,58.37192048876103,5.661985359672883,5.661985359672883,YES
BASS,Q161,M40,58.80335600907029,58.80320470077621,-0.15130829407894453,0.15130829407894453,YES
DRUM,Q161,M40,58.75519274376417,58.71595019273889,-39.24255102528207,39.24255102528207,YES
BASS,Q162,M40,59.141545124716544,59.15933262100672,17.787496290175397,17.787496290175397,YES
DRUM,Q162,M40,59.144126984126984,59.143400276881444,-0.726707245540581,0.726707245540581,YES
BASS,Q163,M41,59.5224716553288,59.52278931169095,0.31765636214942106,0.31765636214942106,NO
BASS,Q164,M41,59.88248677248677,59.8977089687903,15.222196303525948,15.222196303525948,NO
BASS,Q165,M41,60.24250188964475,60.23924305971437,-3.2588299303810686,3.2588299303810686,NO
BASS,Q166,M41,60.60251700680272,60.61684127458395,14.324267781226752,14.324267781226752,NO
BASS,Q167,M42,61.06585034013606,61.04966071997202,-16.189620164041685,16.189620164041685,NO
BASS,Q168,M42,61.394557823129254,61.37157044470936,-22.987378419891513,22.987378419891513,NO
BASS,Q169,M42,61.72326530612245,61.67547342025145,-47.791885870999806,47.791885870999806,NO
BASS,Q170,M42,62.051972789115645,62.054272618053766,2.2998289381206405,2.2998289381206405,NO
BASS,Q175,M44,64.0080650037793,63.932614168725536,-75.45083505375771,75.45083505375771,YES
DRUM,Q175,M44,63.84810279667422,63.827330227464046,-20.77256921017323,20.77256921017323,YES
BASS,Q176,M44,64.35072562358278,64.41051263051385,59.787006931074416,59.787006931074416,YES
DRUM,Q176,M44,64.2292970521542,64.2396581170555,10.361064901303507,10.361064901303507,YES
BASS,Q177,M44,64.69338624338624,64.75111701942346,57.73077603721788,57.73077603721788,YES
DRUM,Q177,M44,64.61049130763416,64.620749553049,10.25824541483189,10.25824541483189,YES
BASS,Q178,M44,65.03604686318972,64.98552377647518,-50.523086714548526,50.523086714548526,YES
DRUM,Q178,M44,64.99168556311415,64.9823089068562,-9.376656257941818,9.376656257941818,YES
BASS,Q179,M45,65.33052154195012,65.3261407053837,-4.380836566426183,4.380836566426183,NO
BASS,Q180,M45,65.69422675736962,65.68874121800708,-5.485539362538816,5.485539362538816,NO
BASS,Q181,M45,66.05793197278912,66.05919211126619,1.2601384770647428,1.2601384770647428,NO
BASS,Q182,M45,66.42163718820862,66.4233601820819,1.7229938732725714,1.7229938732725714,NO
BASS,Q183,M46,66.66251700680272,66.75609286888495,93.57586208223267,93.57586208223267,YES
DRUM,Q183,M46,66.69931972789115,66.70314129899425,3.821571103102883,3.821571103102883,YES
BASS,Q184,M46,67.08387755102041,67.00466970813375,-79.20784288666027,79.20784288666027,YES
DRUM,Q184,M46,67.09018896447468,67.09686219649821,6.673232023530318,6.673232023530318,YES
BASS,Q185,M46,67.5052380952381,67.4807437445583,-24.494350679802324,24.494350679802324,YES
DRUM,Q185,M46,67.4810582010582,67.49848070842671,17.422507368507922,17.422507368507922,YES
BASS,Q186,M46,67.92659863945579,67.91869305556057,-7.90558389522289,7.90558389522289,YES
DRUM,Q186,M46,67.87192743764173,67.87067654408241,-1.2508935593160686,1.2508935593160686,YES
BASS,Q187,M47,68.1511959750567,68.17886428633545,27.66831127875946,27.66831127875946,NO
BASS,Q188,M47,68.53195769085413,68.5140344674853,-17.923223368825347,17.923223368825347,NO
BASS,Q189,M47,68.91271940665156,68.94583504144258,33.115634791016646,33.115634791016646,NO
BASS,Q190,M47,69.29348112244898,69.28905844253032,-4.422679918661743,4.422679918661743,NO
BASS,Q191,M48,69.65628117913832,69.65334505877024,-2.9361203680764447,2.9361203680764447,YES
DRUM,Q191,M48,69.64970521541949,69.64459717741836,-5.108038001125692,5.108038001125692,YES
BASS,Q192,M48,70.01262282690854,70.00755076459265,-5.072062315889525,5.072062315889525,YES
DRUM,Q192,M48,70.01638699924413,70.01947475048829,3.0877512441520594,3.0877512441520594,YES
BASS,Q193,M48,70.36896447467875,70.3682349838998,-0.7294907789514582,0.7294907789514582,YES
DRUM,Q193,M48,70.38306878306878,70.3814144202823,-1.654362786482011,1.654362786482011,YES
BASS,Q194,M48,70.72530612244897,70.72547597287105,0.16985042208261802,0.16985042208261802,YES
DRUM,Q194,M48,70.74975056689343,70.75074018323645,0.9896163430198612,0.9896163430198612,YES
