instrument,quarter_ID,continuous_s,anchored_s,signed_change_ms
BASS,Q161,58.78918406485132,58.80320470077621,14.020635924893554
DRUM,Q161,58.75994966549103,58.71595019273889,-43.99947275214089
BASS,Q162,59.15576210237883,59.15933262100672,3.57051862788893
DRUM,Q162,59.12725464298967,59.143400276881444,16.14563389177448
BASS,Q163,59.52206622992491,59.52278931169095,0.723081766039968
DRUM,Q163,59.4960396471886,59.52538449295764,29.34484576903884
BASS,Q164,59.887837912219545,59.8977089687903,9.871056570752046
DRUM,Q164,59.86426831621762,59.88396363655621,19.69532033859167
BASS,Q165,60.25319796331073,60.23924305971437,-13.954903596363977
DRUM,Q165,60.23046948939309,60.224706479889086,-5.763009504001104
BASS,Q166,60.61860518554406,60.61684127458395,-1.7639109601148562
DRUM,Q166,60.59524501452349,60.557972227048936,-37.272787474556424
BASS,Q167,60.984833411967855,61.04966071997202,64.82730800416192
DRUM,Q167,60.95974010350846,60.89412008212842,-65.62002138004175
BASS,Q168,61.35328280811746,61.37157044470936,18.287636591900025
DRUM,Q168,61.32447065399871,61.243509249220196,-80.96140477851321
BASS,Q169,61.72376769931891,61.67547342025145,-48.29427906746275
DRUM,Q169,61.6894234215385,61.61649893241693,-72.92448912156857
BASS,Q170,62.09524937507819,62.054272618053766,-40.97675702442416
DRUM,Q170,62.05438810371729,62.02344833581129,-30.939767905998394
BASS,Q171,62.46652602482766,62.48898789552586,22.46187069820138
DRUM,Q171,62.419203056167426,62.437128302648226,17.925246480800183
BASS,Q172,62.83599670323816,62.9238418470673,87.8451438291421
DRUM,Q172,62.78384810621117,62.83030967617271,46.4615699615436
BASS,Q173,63.20098939679431,63.303057067077674,102.06767028336117
DRUM,Q173,63.1484843885503,63.197039255444,48.5548668936957
BASS,Q174,63.56211948157147,63.60138841093861,39.26892936713955
DRUM,Q174,63.51335568428542,63.53136383952135,18.00815523592547
BASS,Q175,63.93663594123343,63.932614168725536,-4.021772507897481
DRUM,Q175,63.8784666351315,63.827330227464046,-51.13640766745675
BASS,Q176,64.30035622027083,64.41051263051385,110.1564102430217
DRUM,Q176,64.24328228344699,64.2396581170555,-3.624166391489325
BASS,Q177,64.65648495702521,64.75111701942346,94.63206239824729
DRUM,Q177,64.60694575185683,64.620749553049,13.803801192167953
BASS,Q178,65.00883330303904,64.98552377647518,-23.30952656386387
DRUM,Q178,64.96897393211565,64.9823089068562,13.334974740558891
BASS,Q179,65.35984782148256,65.3261407053837,-33.70711609886712
DRUM,Q179,65.32961830851526,65.3421882906742,12.569982158936455
BASS,Q180,65.71099028904553,65.68874121800708,-22.249071038444868
DRUM,Q180,65.68952285102529,65.69798664940454,8.463798379253262
BASS,Q181,66.06309215237427,66.05919211126619,-3.900041108082064
DRUM,Q181,66.04922794270772,66.02752837239977,-21.699570307944782
BASS,Q182,66.41652570229178,66.4233601820819,6.834479790114756
DRUM,Q182,66.4089967483632,66.35463830661223,-54.35844175096349
BASS,Q183,66.77147653670023,66.75609286888495,-15.383667815285662
DRUM,Q183,66.76889476603762,66.70314129899425,-65.75346704336482
BASS,Q184,67.12810955878008,67.00466970813375,-123.439850646335
DRUM,Q184,67.12891200911892,67.09686219649821,-32.049812620712714
BASS,Q185,67.48558381014135,67.4807437445583,-4.840065583053388
DRUM,Q185,67.48904031607918,67.49848070842671,9.440392347528359
BASS,Q186,67.84394861138692,67.91869305556057,74.74444417364623
DRUM,Q186,67.8492991505274,67.87067654408241,21.37739355501367
BASS,Q187,68.20312556454998,68.17886428633545,-24.261278214524395
DRUM,Q187,68.20972825875482,68.20696869018532,-2.75956856950188
BASS,Q188,68.56303190667727,68.5140344674853,-48.99743919196453
DRUM,Q188,68.57037737497909,68.52089043040456,-49.48694457452518
