quarter_ID,measure,beat,PLP_time_s,BMIG_time_s,DMIG_time_s,GRID_DELTA_ms,MIDPOINT_time_s,B_DISPLAY_ms,D_DISPLAY_ms,Bass_anchor,Bass_anchor_ID,Drum_anchor,Drum_anchor_ID,observed_count_measure,relation_status,primary_statistic_included,displayed,square_marker,coordinate_authority
Q158,M39,4,57.67836734693878,57.589948301931784,57.66624497259067,-76.29667065888412,57.62809663726122,-38.14833532944206,38.14833532944206,YES,HF030,YES,F_MIX_00295,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q159,M40,1,58.026666666666664,58.0988193205361,57.985719952939505,113.09936759659678,58.0422696367378,56.54968379829839,-56.54968379829839,YES,HF031,YES,F_MIX_00296,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q160,M40,2,58.39818594104308,58.45027135503804,58.37192048876103,78.35086627701315,58.41109592189953,39.17543313850658,-39.17543313850658,YES,HF032,YES,F_MIX_00298,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q161,M40,3,58.746485260770974,58.80320470077621,58.71595019273889,87.2545080373257,58.75957744675755,43.62725401866285,-43.62725401866285,YES,HF033,YES,F_MIX_00300,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q162,M40,4,59.11800453514739,59.141545124716544,59.144126984126984,-2.5818594104407566,59.142836054421764,-1.2909297052203783,1.2909297052203783,NO,,YES,F_MIX_00303,3,RECONSTRUCTED_CONTEXT_ONLY,NO,YES,YES,JGA_MEASURE_INTERNAL_PULSE_GRID_20260925
Q163,M41,1,59.466303854875285,59.52278931169095,59.52538449295764,-2.5951812666917817,59.5240869023243,-1.2975906333458909,1.2975906333458909,YES,HF035,YES,F_MIX_00305,2,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q164,M41,2,59.8378231292517,59.8977089687903,59.88396363655621,13.74533223408747,59.89083630267325,6.872666117043735,-6.872666117043735,YES,HF036,YES,F_MIX_00306,2,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q165,M41,3,60.20934240362812,,,,,,,YES,HF037,NO,,2,UNSUPPORTED,NO,NO,NO,NONE
Q166,M41,4,60.58086167800454,,,,,,,YES,HF038,NO,,2,UNSUPPORTED,NO,NO,NO,NONE
Q167,M42,1,60.929160997732424,,,,,,,YES,HF039,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q168,M42,2,61.32390022675737,,,,,,,NO,,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q169,M42,3,61.695419501133784,61.67547342025145,61.61649893241693,58.97448783451864,61.64598617633419,29.48724391725932,-29.48724391725932,YES,HF040,YES,F_MIX_00317,1,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q170,M42,4,62.0669387755102,,,,,,,YES,HF042,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q171,M43,1,62.43845804988662,,,,,,,NO,,YES,F_MIX_00321,0,UNSUPPORTED,NO,NO,NO,NONE
Q172,M43,2,62.80997732426304,,,,,,,YES,HF043,NO,,0,UNSUPPORTED,NO,NO,NO,NONE
Q173,M43,3,63.181496598639455,,,,,,,YES,HF044,NO,,0,UNSUPPORTED,NO,NO,NO,NONE
Q174,M43,4,63.52979591836735,,,,,,,NO,,YES,F_MIX_00326,0,UNSUPPORTED,NO,NO,NO,NONE
Q175,M44,1,63.901315192743766,63.932614168725536,63.827330227464046,105.2839412614901,63.87997219809479,52.64197063074505,-52.64197063074505,YES,HF045,YES,F_MIX_00327,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q176,M44,2,64.27283446712018,64.41051263051385,64.2396581170555,170.85451345835168,64.32508537378467,85.42725672917584,-85.42725672917584,YES,HF046,YES,F_MIX_00328,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q177,M44,3,64.62113378684808,64.75111701942346,64.620749553049,130.36746637446583,64.68593328623624,65.18373318723292,-65.18373318723292,YES,HF047,YES,F_MIX_00330,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q178,M44,4,64.99265306122449,64.98552377647518,64.9823089068562,3.214869618972216,64.98391634166569,1.607434809486108,-1.607434809486108,YES,HF048,YES,F_MIX_00332,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q179,M45,1,65.34095238095239,65.3261407053837,65.3421882906742,-16.047585290507982,65.33416449802894,-8.023792645253991,8.023792645253991,YES,HF049,YES,F_MIX_00334,1,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q180,M45,2,65.68925170068027,,,,,,,NO,,YES,F_MIX_00335,1,UNSUPPORTED,NO,NO,NO,NONE
Q181,M45,3,66.06077097505668,,,,,,,YES,HF050,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q182,M45,4,66.40907029478458,,,,,,,YES,HF051,NO,,1,UNSUPPORTED,NO,NO,NO,NONE
Q183,M46,1,66.780589569161,66.75609286888495,66.70314129899425,52.95156989069483,66.7296170839396,26.475784945347414,-26.475784945347414,YES,HF052,YES,F_MIX_00339,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q184,M46,2,67.1288888888889,67.08387755102041,67.09018896447468,-6.3114134542701095,67.08703325774755,-3.1557067271350547,3.1557067271350547,YES,HF053,NO,,3,RECONSTRUCTED_CONTEXT_ONLY,NO,YES,YES,JGA_MEASURE_INTERNAL_PULSE_GRID_20260925
Q185,M46,3,67.47718820861678,67.4807437445583,67.49848070842671,-17.7369638684155,67.48961222649251,-8.86848193420775,8.86848193420775,YES,HF054,YES,F_MIX_00343,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q186,M46,4,67.84870748299319,67.91869305556057,67.87067654408241,48.01651147815278,67.89468479982149,24.00825573907639,-24.00825573907639,YES,HF055,YES,F_MIX_00345,3,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q187,M47,1,68.19700680272109,68.17886428633545,68.20696869018532,-28.104403849866344,68.19291648826038,-14.052201924933172,14.052201924933172,YES,HF056,YES,F_MIX_00347,2,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q188,M47,2,68.5685260770975,,,,,,,YES,HF057,NO,,2,UNSUPPORTED,NO,NO,NO,NONE
Q189,M47,3,68.9168253968254,68.94583504144258,68.85234448616959,93.49055527299299,68.89908976380607,46.745277636496496,-46.745277636496496,YES,HF058,YES,F_MIX_00351,2,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q190,M47,4,69.28834467120181,,,,,,,YES,HF059,NO,,2,UNSUPPORTED,NO,NO,NO,NONE
Q191,M48,1,69.6366439909297,69.65334505877024,69.64459717741836,8.747881351879983,69.6489711180943,4.373940675939991,-4.373940675939991,YES,HF060,YES,F_MIX_00355,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q192,M48,2,69.9849433106576,70.00755076459265,70.01947475048829,-11.923985895634814,70.01351275754047,-5.961992947817407,5.961992947817407,YES,HF061,YES,F_MIX_00357,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q193,M48,3,70.35646258503401,70.3682349838998,70.3814144202823,-13.179436382500853,70.37482470209105,-6.589718191250427,6.589718191250427,YES,HF062,YES,F_MIX_00359,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
Q194,M48,4,70.70476190476191,70.72547597287105,70.75074018323645,-25.264210365392614,70.73810807805376,-12.632105182696307,12.632105182696307,YES,HF063,YES,F_MIX_00361,4,OBSERVED_RELATION,YES,YES,NO,FINAL_ANCHORED_BMIG_DMIG_20260925
