note_id,role,family_id,possible_family_ids,harmonic_number,cents_error,reason,root_score,native_hypothesis
BP_0087,POSSIBLE_ROOT_FRAGMENT,HF056,"[""HF056""]",1,0.0,same-MIDI current-family continuation within two output frames,0.6712319850921631,"{""note_id"": ""BP_0087"", ""onset_s"": ""68.32695736961452"", ""offset_s"": ""68.51271700680272"", ""midi_pitch"": ""34"", ""amplitude"": ""0.6712319850921631"", ""pitch_bends"": ""[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 68.32695736961452, ""offset"": 68.51271700680272, ""pitch"": 34, ""amp"": 0.6712319850921631, ""frequency_hz"": 58.27047018976124}"
BP_0088,ROOT_HYPOTHESIS,HF057,"[""HF057""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5579637885093689,"{""note_id"": ""BP_0088"", ""onset_s"": ""68.50110702947846"", ""offset_s"": ""68.68686666666667"", ""midi_pitch"": ""36"", ""amplitude"": ""0.5579637885093689"", ""pitch_bends"": ""[-4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 68.50110702947846, ""offset"": 68.68686666666667, ""pitch"": 36, ""amp"": 0.5579637885093689, ""frequency_hz"": 65.40639132514966}"
BP_0089,HARMONIC_HYPOTHESIS,HF057,"[""HF057""]",2,0.0,frequency-compatible active family; separate higher note remains alternative,0.40738263726234436,"{""note_id"": ""BP_0089"", ""onset_s"": ""68.66364671201814"", ""offset_s"": ""68.85069024943311"", ""midi_pitch"": ""48"", ""amplitude"": ""0.40738263726234436"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 68.66364671201814, ""offset"": 68.85069024943311, ""pitch"": 48, ""amp"": 0.40738263726234436, ""frequency_hz"": 130.8127826502993}"
BP_0090,POSSIBLE_ROOT_FRAGMENT,HF057,"[""HF057""]",1,0.0,same-MIDI current-family continuation within two output frames,0.8936036974191666,"{""note_id"": ""BP_0090"", ""onset_s"": ""68.68686666666667"", ""offset_s"": ""68.8855201814059"", ""midi_pitch"": ""36"", ""amplitude"": ""0.6899123787879944"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 68.68686666666667, ""offset"": 68.8855201814059, ""pitch"": 36, ""amp"": 0.6899123787879944, ""frequency_hz"": 65.40639132514966}"
BP_0091,ROOT_HYPOTHESIS,HF058,"[""HF058""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5669514536857605,"{""note_id"": ""BP_0091"", ""onset_s"": ""68.94357006802721"", ""offset_s"": ""69.22220952380952"", ""midi_pitch"": ""37"", ""amplitude"": ""0.5669514536857605"", ""pitch_bends"": ""[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 68.94357006802721, ""offset"": 69.22220952380952, ""pitch"": 37, ""amp"": 0.5669514536857605, ""frequency_hz"": 69.29565774421802}"
BP_0092,HARMONIC_HYPOTHESIS,HF059,"[""HF059""]",2,3.8441118045779003e-13,frequency-compatible active family; separate higher note remains alternative,0.39786195755004883,"{""note_id"": ""BP_0092"", ""onset_s"": ""69.26864943310657"", ""offset_s"": ""69.46601904761906"", ""midi_pitch"": ""50"", ""amplitude"": ""0.39786195755004883"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 69.26864943310657, ""offset"": 69.46601904761906, ""pitch"": 50, ""amp"": 0.39786195755004883, ""frequency_hz"": 146.8323839587038}"
BP_0093,ROOT_HYPOTHESIS,HF059,"[""HF059""]",1,0.0,new observed pitch incompatible with active harmonic families,0.9149701595306396,"{""note_id"": ""BP_0093"", ""onset_s"": ""69.28025941043084"", ""offset_s"": ""69.54728888888889"", ""midi_pitch"": ""38"", ""amplitude"": ""0.7160391807556152"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 69.28025941043084, ""offset"": 69.54728888888889, ""pitch"": 38, ""amp"": 0.7160391807556152, ""frequency_hz"": 73.41619197935188}"
BP_0094,ROOT_HYPOTHESIS,HF060,"[""HF060""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5940345525741577,"{""note_id"": ""BP_0094"", ""onset_s"": ""69.54728888888889"", ""offset_s"": ""69.75626848072562"", ""midi_pitch"": ""39"", ""amplitude"": ""0.5940345525741577"", ""pitch_bends"": ""[-2, -2, -2, -2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 69.54728888888889, ""offset"": 69.75626848072562, ""pitch"": 39, ""amp"": 0.5940345525741577, ""frequency_hz"": 77.78174593052023}"
BP_0095,POSSIBLE_ROOT_FRAGMENT,HF060,"[""HF060""]",1,0.0,same-MIDI current-family continuation within two output frames,0.7294201254844666,"{""note_id"": ""BP_0095"", ""onset_s"": ""69.75626848072562"", ""offset_s"": ""70.02329795918368"", ""midi_pitch"": ""39"", ""amplitude"": ""0.7294201254844666"", ""pitch_bends"": ""[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 69.75626848072562, ""offset"": 70.02329795918368, ""pitch"": 39, ""amp"": 0.7294201254844666, ""frequency_hz"": 77.78174593052023}"
BP_0096,ROOT_HYPOTHESIS,HF061,"[""HF061""]",1,0.0,new observed pitch incompatible with active harmonic families,0.6573601961135864,"{""note_id"": ""BP_0096"", ""onset_s"": ""70.01168798185941"", ""offset_s"": ""70.1742276643991"", ""midi_pitch"": ""46"", ""amplitude"": ""0.6573601961135864"", ""pitch_bends"": ""[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 70.01168798185941, ""offset"": 70.1742276643991, ""pitch"": 46, ""amp"": 0.6573601961135864, ""frequency_hz"": 116.54094037952248}"
BP_0097,POSSIBLE_ROOT_FRAGMENT,HF061,"[""HF061""]",1,0.0,same-MIDI current-family continuation within two output frames,0.5682123899459839,"{""note_id"": ""BP_0097"", ""onset_s"": ""70.1742276643991"", ""offset_s"": ""70.32515736961452"", ""midi_pitch"": ""46"", ""amplitude"": ""0.5682123899459839"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 70.1742276643991, ""offset"": 70.32515736961452, ""pitch"": 46, ""amp"": 0.5682123899459839, ""frequency_hz"": 116.54094037952248}"
BP_0098,ROOT_HYPOTHESIS,HF062,"[""HF062""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5995796918869019,"{""note_id"": ""BP_0098"", ""onset_s"": ""70.29032743764172"", ""offset_s"": ""70.45286712018141"", ""midi_pitch"": ""43"", ""amplitude"": ""0.5995796918869019"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 70.29032743764172, ""offset"": 70.45286712018141, ""pitch"": 43, ""amp"": 0.5995796918869019, ""frequency_hz"": 97.99885899543733}"
BP_0099,POSSIBLE_ROOT_FRAGMENT,HF062,"[""HF062""]",1,0.0,same-MIDI current-family continuation within two output frames,0.6702736020088196,"{""note_id"": ""BP_0099"", ""onset_s"": ""70.46447709750566"", ""offset_s"": ""70.68506666666667"", ""midi_pitch"": ""43"", ""amplitude"": ""0.6702736020088196"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 70.46447709750566, ""offset"": 70.68506666666667, ""pitch"": 43, ""amp"": 0.6702736020088196, ""frequency_hz"": 97.99885899543733}"
BP_0100,ROOT_HYPOTHESIS,HF063,"[""HF063""]",1,0.0,new observed pitch incompatible with active harmonic families,0.7154550552368164,"{""note_id"": ""BP_0100"", ""onset_s"": ""70.71989659863945"", ""offset_s"": ""71.1043097505669"", ""midi_pitch"": ""39"", ""amplitude"": ""0.7154550552368164"", ""pitch_bends"": ""[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 70.71989659863945, ""offset"": 71.1043097505669, ""pitch"": 39, ""amp"": 0.7154550552368164, ""frequency_hz"": 77.78174593052023}"
