event_id,family,timestamp_s,sample_index,frame_index,previous_interval_s,source_identity,kind,timing_grid_ms
F_MIX_00811,F_MIX,162.8647619047619,7182336,14028,0.04643990929704955,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00812,F_MIX,163.0505215419501,7190528,14044,0.1857596371881982,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00813,F_MIX,163.178231292517,7196160,14055,0.1277097505669076,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00814,F_MIX,163.44526077097507,7207936,14078,0.26702947845805625,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00815,F_MIX,163.85160997732427,7225856,14113,0.4063492063492049,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00816,F_MIX,163.92126984126983,7228928,14119,0.06965986394556012,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00817,F_MIX,164.1882993197279,7240704,14142,0.26702947845805625,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00818,F_MIX,164.281179138322,7244800,14150,0.0928798185940991,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00819,F_MIX,164.38566893424036,7249408,14159,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00820,F_MIX,164.53659863945578,7256064,14172,0.15092970521541815,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00821,F_MIX,164.62947845804987,7260160,14180,0.0928798185940991,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00822,F_MIX,164.66430839002268,7261696,14183,0.03482993197280848,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00823,F_MIX,164.93133786848074,7273472,14206,0.26702947845805625,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00824,F_MIX,165.37251700680272,7292928,14244,0.44117913832198496,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00825,F_MIX,165.6627664399093,7305728,14269,0.2902494331065668,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00826,F_MIX,165.73242630385488,7308800,14275,0.06965986394558854,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00827,F_MIX,166.02267573696145,7321600,14300,0.2902494331065668,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00828,F_MIX,166.09233560090703,7324672,14306,0.06965986394558854,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00829,F_MIX,166.37097505668933,7336960,14330,0.2786394557822973,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00830,F_MIX,166.4522448979592,7340544,14337,0.08126984126985803,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00831,F_MIX,166.5102947845805,7343104,14342,0.05804988662131905,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00832,F_MIX,166.71927437641725,7352320,14360,0.2089795918367372,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00833,F_MIX,167.1024036281179,7369216,14393,0.3831292517006659,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00834,F_MIX,167.16045351473923,7371776,14398,0.05804988662131905,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00835,F_MIX,167.32299319727892,7378944,14412,0.16253968253968765,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00836,F_MIX,167.4274829931973,7383552,14421,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00837,F_MIX,167.5203628117914,7387648,14429,0.0928798185940991,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00838,F_MIX,167.78739229024944,7399424,14452,0.26702947845805625,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00839,F_MIX,168.1473015873016,7415296,14483,0.35990929705215535,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00840,F_MIX,168.25179138321997,7419904,14492,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00841,F_MIX,168.49560090702948,7430656,14513,0.24380952380951726,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00842,F_MIX,168.60009070294785,7435264,14522,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00843,F_MIX,168.84390022675737,7446016,14543,0.24380952380951726,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00844,F_MIX,168.94839002267574,7450624,14552,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00845,F_MIX,169.20380952380953,7461888,14574,0.25541950113378675,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00846,F_MIX,169.3082993197279,7466496,14583,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00847,F_MIX,169.69142857142856,7483392,14616,0.3831292517006659,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00848,F_MIX,169.9004081632653,7492608,14634,0.2089795918367372,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00849,F_MIX,169.97006802721089,7495680,14640,0.06965986394558854,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00850,F_MIX,170.05133786848072,7499264,14647,0.08126984126982961,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00851,F_MIX,170.283537414966,7509504,14667,0.2321995464852762,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00852,F_MIX,170.41124716553287,7515136,14678,0.12770975056687917,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00853,F_MIX,170.67827664399093,7526912,14701,0.26702947845805625,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00854,F_MIX,170.75954648526078,7530496,14708,0.08126984126985803,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00855,F_MIX,170.98013605442176,7540224,14727,0.22058956916097827,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00856,F_MIX,171.1194557823129,7546368,14739,0.13931972789114866,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00857,F_MIX,171.36326530612246,7557120,14760,0.24380952380954568,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00858,F_MIX,171.46775510204083,7561728,14769,0.1044897959183686,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00859,F_MIX,171.71156462585034,7572480,14790,0.24380952380951726,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00860,F_MIX,171.8508843537415,7578624,14802,0.13931972789114866,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00861,F_MIX,172.0714739229025,7588352,14821,0.2205895691610067,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00862,F_MIX,172.18757369614514,7593472,14831,0.1160997732426381,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00863,F_MIX,172.24562358276643,7596032,14836,0.058049886621290625,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00864,F_MIX,172.5474829931973,7609344,14862,0.3018594104308647,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00865,F_MIX,172.7912925170068,7620096,14883,0.24380952380951726,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00866,F_MIX,172.90739229024942,7625216,14893,0.11609977324260967,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00867,F_MIX,173.16281179138323,7636480,14915,0.2554195011338152,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00868,F_MIX,173.25569160997733,7640576,14923,0.0928798185940991,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00869,F_MIX,173.49950113378685,7651328,14944,0.24380952380951726,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00870,F_MIX,173.638820861678,7657472,14956,0.13931972789114866,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00871,F_MIX,173.88263038548752,7668224,14977,0.24380952380951726,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00872,F_MIX,173.96390022675737,7671808,14984,0.08126984126985803,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00873,F_MIX,174.09160997732425,7677440,14995,0.12770975056687917,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00874,F_MIX,174.23092970521543,7683584,15007,0.13931972789117708,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00875,F_MIX,174.32380952380953,7687680,15015,0.0928798185940991,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00876,F_MIX,174.60244897959183,7699968,15039,0.2786394557822973,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00877,F_MIX,174.69532879818595,7704064,15047,0.09287981859412753,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00878,F_MIX,174.95074829931974,7715328,15069,0.25541950113378675,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
F_MIX_00879,F_MIX,174.98557823129252,7716864,15072,0.03482993197278006,UNKNOWN_SOURCE,SPECTRAL_ONSET_CANDIDATE,11.609977324263038
