GT_event_id,take,string,condition,expected_pitch,GT_onset,GT_lower_bound,GT_upper_bound,matched_BP_event_id,BP_MIDI_pitch,BP_onset,BP_offset,match_classification,signed_error_ms,absolute_error_ms,interval_relation,notes,candidate_ids,source_wav,clip_id
GAL09_20260914_S1_D_MF_R06,20260914_0030,D,mf,38,87.33774603174604,87.33674603174603,87.33874603174603,T03_N008,38,87.33901723356009,102.41903900226757,CORRECT_PITCH_MATCH,1.27120181404905,1.27120181404905,AFTER,"1 exact-pitch, 1 octave-equivalent, 2 total persistent hypotheses; no timing-error ranking",T03_N008,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R07,20260914_0030,D,mf,38,102.92785260770975,102.92685260770975,102.92885260770976,T03_N007,38,102.91826802721089,116.71990839002268,CORRECT_PITCH_MATCH,-9.584580498867012,9.584580498867012,BEFORE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N007,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R08,20260914_0030,D,mf,38,117.1668514739229,117.16572562358277,117.16797732426303,T03_N006,38,117.17269750566894,133.658810430839,CORRECT_PITCH_MATCH,5.846031746031599,5.846031746031599,AFTER,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N006,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R09,20260914_0030,D,mf,38,134.1783253968254,134.1771224489796,134.1795283446712,T03_N005,38,134.16964943310657,150.89828798185943,CORRECT_PITCH_MATCH,-8.675963718815183,8.675963718815183,BEFORE,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T03_N005,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_D_MF_R10,20260914_0030,D,mf,38,152.33292176870748,152.33179818594104,152.33404535147392,,,,,MULTIPLE_BP_CANDIDATES,,,,"2 exact-pitch, 2 octave-equivalent, 6 total persistent hypotheses; no timing-error ranking",T03_N002;T03_N003,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0030 [2026-09-14 171340].wav,T03
GAL09_20260914_S1_G_MF_R01,20260914_0031,G,mf,43,6.0779750566893425,6.076975056689342,6.078975056689343,T04_N052,43,6.064259863945578,19.690466666666666,CORRECT_PITCH_MATCH,-13.715192743764426,13.715192743764426,BEFORE,"1 exact-pitch, 2 octave-equivalent, 10 total persistent hypotheses; no timing-error ranking",T04_N052,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R02,20260914_0031,G,mf,43,19.880043083900226,19.878888888888888,19.881888888888888,T04_N048,43,19.865900226757372,34.44540907029479,CORRECT_PITCH_MATCH,-14.142857142854126,14.142857142854126,BEFORE,"1 exact-pitch, 3 octave-equivalent, 11 total persistent hypotheses; no timing-error ranking",T04_N048,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R03,20260914_0031,G,mf,43,35.11472789115646,35.113727891156465,35.11572789115646,T04_N045,43,35.10717777777778,48.87398820861678,CORRECT_PITCH_MATCH,-7.550113378684387,7.550113378684387,BEFORE,"1 exact-pitch, 2 octave-equivalent, 13 total persistent hypotheses; no timing-error ranking",T04_N045,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R04,20260914_0031,G,mf,43,49.36092517006803,49.359925170068024,49.36192517006803,T04_N042,43,49.36160725623583,62.32732925170068,CORRECT_PITCH_MATCH,0.6820861677994117,0.6820861677994117,INSIDE,"1 exact-pitch, 1 octave-equivalent, 9 total persistent hypotheses; no timing-error ranking",T04_N042,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R05,20260914_0031,G,mf,43,63.68782879818594,63.6868843537415,63.6888843537415,T04_N034,43,63.67537052154195,78.73088843537415,CORRECT_PITCH_MATCH,-12.458276643990018,12.458276643990018,BEFORE,"1 exact-pitch, 2 octave-equivalent, 6 total persistent hypotheses; no timing-error ranking",T04_N034,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
