instrument,event_ID,original_time_s,quarter_ID,Bass_provenance,role,PLP_indexing_offset_ms
DRUM,F_MIX_00345,67.87192743764173,Q186,,QUARTER_FIT_OBSERVATION,23.21995464854000
DRUM,F_MIX_00347,68.20861678004535,Q187,,QUARTER_FIT_OBSERVATION,11.60997732426000
DRUM,F_MIX_00346,68.1621768707483,Q187,,ADDITIONAL_EVENT,-34.82993197279000
DRUM,F_MIX_00351,68.84716553287981,Q189,,QUARTER_FIT_OBSERVATION,-69.65986394559000
DRUM,F_MIX_00355,69.64825396825397,Q191,,QUARTER_FIT_OBSERVATION,11.60997732427000
DRUM,F_MIX_00357,70.01977324263038,Q192,,QUARTER_FIT_OBSERVATION,34.82993197278000
DRUM,F_MIX_00359,70.37968253968253,Q193,,QUARTER_FIT_OBSERVATION,23.21995464852000
DRUM,F_MIX_00361,70.75120181405896,Q194,,QUARTER_FIT_OBSERVATION,46.43990929705000
DRUM,F_MIX_00360,70.64671201814059,Q194,,ADDITIONAL_EVENT,-58.04988662132000
DRUM,F_MIX_00362,70.99501133786848,Q195,,OUTSIDE_ANALYSIS_INDEX_DOMAIN,-81.26984126984000
